Tile Size,Steps,MSE,Memory Footprint (Bytes),Compression Ratio,BLEU Score,Character F-score
64,55,0.0006290405600945329,11072160.0,1.7046690076732995,8.108700513849172,0.2299791775162504
64,57,0.0005991287747140935,11474784.0,1.6448560600356399,8.298194552011134,0.23069295547163865
64,59,0.0005705790861914769,11877408.0,1.5890982274920589,8.602077953123498,0.2330984022129152
64,61,0.0005435453651140657,12280032.0,1.536996646262811,13.106329245374592,0.23948578115085303
64,63,0.0005177485238997784,12682656.0,1.4882031019370074,13.276824862551983,0.24327730557259655
64,65,0.0004930619091207215,13085280.0,1.4424122372620227,13.71492389997025,0.24606729756823115
64,67,0.000469535114196636,13487904.0,1.3993551555527086,15.104224052240363,0.24571456781915438
64,69,0.00044713360860744916,13890528.0,1.3587941365511809,14.96634391550981,0.24600446235029572
64,71,0.00042592637619994395,14293152.0,1.320518245380725,16.59835984299686,0.24612315321494693
64,73,0.0004057031662796362,14695776.0,1.2843396633154995,16.76595040227502,0.25026328440282697
64,75,0.0003864307400363032,15098400.0,1.2500906056270864,18.605721853962407,0.2527394207343962
64,77,0.0003680886688925966,15501024.0,1.2176207197666424,18.62954811349607,0.2520233560715812
64,79,0.00035050438600592315,15903648.0,1.186794878759892,21.21983662713268,0.2547954233903645
64,81,0.0003338254172907303,16306272.0,1.1574913015065613,22.806858681251672,0.2544143892442348
64,83,0.00031793510235426464,16708896.0,1.1295999448437526,23.688130834753192,0.25483706421120894
64,85,0.0003027070118264419,17111520.0,1.103021122612135,24.934727018364946,0.25619562889427133
64,87,0.00028823634026290773,17514144.0,1.077664315195764,24.284117482142822,0.256462505460212
64,89,0.00027446627658870665,17916768.0,1.0534471395733873,26.93282012449942,0.25721927733781674
64,91,0.00026127233070383227,18319392.0,1.0302944551871591,27.31274967148389,0.25847346121472603
64,93,0.0002487701515102951,18722016.0,1.0081375851831342,27.99543171286093,0.25759269944380314
64,95,0.0002368486163580504,19124640.0,0.9869136360213839,29.857536564909353,0.2591931150578729
64,97,0.00022553157848885044,19527264.0,0.9665649012580564,30.763576925253194,0.26083759746226304
64,99,0.00021474223821845348,19929888.0,0.9470383375962775,30.27535768865897,0.2603133243679005
128,1,0.0024727535419515334,99480.0,189.73027744270206,1.464770054816548,0.18100441082219987
128,5,0.0022584945400012657,497400.0,37.94605548854041,1.3182833166874697,0.17880702359584352
128,9,0.0020971354266900257,895320.0,21.081141938078005,1.8276957934632676,0.18677934893808826
128,13,0.001960310933403283,1293240.0,14.594636726361696,2.040390881375207,0.19304350276506343
128,17,0.001840418893455838,1691160.0,11.160604555453062,1.7634015894260497,0.1868701073691083
128,21,0.0017327020383769802,2089080.0,9.034775116319146,1.7701192766024652,0.1813035584389904
128,25,0.0016346580584164865,2487000.0,7.589211097708082,1.439702285136567,0.1827679334028756
128,29,0.0015445045828528237,2884920.0,6.542423360093174,1.7149351800444648,0.18729221602889237
128,33,0.001459939777002243,3282840.0,5.749402346748547,2.274271976142626,0.1927298290815614
128,37,0.0013817160379403504,3680760.0,5.127845336289244,2.385659358220254,0.1865334325145766
128,41,0.0013085346787799306,4078680.0,4.627567742504928,2.0667847966480157,0.19284401724041791
128,45,0.0012396325667699177,4476600.0,4.216228387615601,2.349577350357115,0.19343873873129344
128,49,0.0011754627751846176,4874520.0,3.8720464784224906,1.8696092315548123,0.19444872878763816
128,53,0.0011147520308441017,5272440.0,3.5798165555226804,2.392619819497673,0.18849725913570978
128,57,0.0010577152297628345,5670360.0,3.328601358643896,1.9236616298985043,0.19122667565607201
128,61,0.0010040604708289418,6068280.0,3.1103324170934763,2.5434384522532665,0.19844993730768842
128,65,0.0009533915284312874,6466200.0,2.918927345272339,2.699420935971642,0.19562014735077649
