Word Length,Fraction Length,Rank,BLEU Score,Compression Ratio
7,4,150,22.384239306081042,13.653333333333334
7,3,150,2.627778019712858,18.204444444444444
7,2,150,1.7943664696887252,27.30666666666667
7,1,150,2.492314924392241,54.61333333333334
8,7,150,3.4449625830707764,7.801904761904762
8,6,150,10.996909990577503,9.102222222222222
8,5,150,26.229358222616707,10.922666666666666
8,4,150,28.720215000620513,13.653333333333334
8,3,150,3.469740453060413,18.204444444444444
8,2,150,1.772866365144691,27.30666666666667
8,1,150,2.4350625165056172,54.61333333333334
16,15,150,2.9771661903363746,3.640888888888889
16,14,150,10.116736719492613,3.900952380952381
16,13,150,27.66270024058917,4.201025641025641
16,12,150,35.30194263593437,4.551111111111111
16,11,150,35.23093219570291,4.964848484848485
16,10,150,34.70578012127263,5.461333333333333
16,9,150,34.683204104987766,6.068148148148148
16,8,150,34.2353901026853,6.826666666666667
32,31,150,2.9771661903363746,1.7617204301075269
32,30,150,10.116736719492613,1.8204444444444445
32,29,150,27.66270024058917,1.8832183908045976
32,28,150,35.23854326517163,1.9504761904761905
32,27,150,35.25115851157239,2.022716049382716
32,26,150,34.70578012127263,2.1005128205128205
32,25,150,34.76324952626128,2.1845333333333334
32,24,150,34.76324952626128,2.2755555555555556
4,3,200,1.718249116053562,13.653333333333334
4,2,200,1.7156703736541508,20.48
4,1,200,2.991749855444523,40.96
5,4,200,3.9415057503508057,10.24
5,3,200,2.0682854801016575,13.653333333333334
5,2,200,2.0631295586846408,20.48
5,1,200,2.216503689597686,40.96
6,5,200,4.160743549468971,8.192
6,4,200,10.860031275592616,10.24
6,3,200,2.808720750267144,13.653333333333334
6,2,200,1.8981010930776698,20.48
6,1,200,2.1626696565143044,40.96
7,6,200,5.0675804330390966,6.826666666666667
7,5,200,13.081334041484538,8.192
7,4,200,26.37016196184116,10.24
7,3,200,3.0912052209121725,13.653333333333334
7,2,200,1.8550451019324756,20.48
7,1,200,2.492314924392241,40.96
8,7,200,4.117095618128226,5.851428571428571
8,6,200,14.233298423281173,6.826666666666667
8,5,200,31.3985703614717,8.192
8,4,200,34.12574213900854,10.24
8,3,200,5.362056243983543,13.653333333333334
8,2,200,1.8789027230176785,20.48
8,1,200,2.4350625165056172,40.96
16,15,200,4.270497408085549,2.7306666666666666
16,14,200,14.61007418612029,2.9257142857142857
16,13,200,33.71751968746501,3.1507692307692308
16,12,200,38.143343844911456,3.4133333333333336
16,11,200,39.880910705773935,3.7236363636363636
16,10,200,38.97360591126582,4.096
16,9,200,39.31623665044962,4.551111111111111
16,8,200,38.81360724484469,5.12
32,31,200,4.270497408085549,1.3212903225806452
32,30,200,14.61007418612029,1.3653333333333333
32,29,200,33.71751968746501,1.4124137931034482
32,28,200,38.12162075546708,1.4628571428571429
32,27,200,39.72826609587362,1.517037037037037
32,26,200,39.27989173976279,1.5753846153846154
32,25,200,39.16960048052053,1.6384
32,24,200,39.16960048052053,1.7066666666666668
4,3,250,1.3701828408856236,10.922666666666666
4,2,250,1.3050033109531378,16.384
4,1,250,2.991749855444523,32.768
5,4,250,5.843873733519429,8.192
5,3,250,2.2962121067535226,10.922666666666666
5,2,250,1.837183701921061,16.384
5,1,250,2.216503689597686,32.768
6,5,250,5.495418876477281,6.5536
6,4,250,12.404038302883675,8.192
6,3,250,2.92649291887682,10.922666666666666
6,2,250,1.8466092343627043,16.384
6,1,250,2.1626696565143044,32.768
7,6,250,6.168374893782503,5.461333333333333
7,5,250,15.333591248761774,6.5536
7,4,250,29.784776545902986,8.192
7,3,250,4.116031915570847,10.922666666666666
7,2,250,1.8969553765826608,16.384
7,1,250,2.492314924392241,32.768
8,7,250,6.242596412982207,4.6811428571428575
8,6,250,17.05163161723985,5.461333333333333
8,5,250,32.17613241797085,6.5536
8,4,250,36.12523543356426,8.192
8,3,250,6.54672278778733,10.922666666666666
8,2,250,1.8859606528978783,16.384
8,1,250,2.4350625165056172,32.768
16,15,250,6.357631003927991,2.1845333333333334
