Word Length,Fraction Length,Rank,BLEU Score,Compression Ratio
8,2,150,7.214586695978893e-154,6.826666666666667
16,15,150,7.955434372241752,3.4133333333333336
16,14,150,30.346403456143413,3.4133333333333336
16,13,150,36.33400209343531,3.4133333333333336
16,12,150,35.076487921296035,3.4133333333333336
16,11,150,34.51603861018714,3.4133333333333336
16,10,150,35.412152938317035,3.4133333333333336
32,31,150,7.958087031899512,1.7066666666666668
32,30,150,30.42731226549175,1.7066666666666668
32,29,150,35.89451411758117,1.7066666666666668
32,28,150,35.41523740180638,1.7066666666666668
32,27,150,34.439408764371734,1.7066666666666668
32,26,150,34.70578012127263,1.7066666666666668
4,3,175,1.9802296084922641,11.702857142857143
4,2,175,1.3358064268134813,11.702857142857143
4,1,175,3.2695271881922117,11.702857142857143
5,4,175,1.056841040377319,9.362285714285715
5,3,175,4.387395082602115e-78,9.362285714285715
5,2,175,1.193897540657984,9.362285714285715
5,1,175,3.2695271881922117,9.362285714285715
6,5,175,6.44353477382648,7.801904761904762
6,4,175,3.8586445479073334e-154,7.801904761904762
6,3,175,2.5946843148142294e-154,7.801904761904762
6,2,175,0.41670576631112194,7.801904761904762
6,1,175,3.2695271881922117,7.801904761904762
7,6,175,7.2318557650989685,6.6873469387755105
7,5,175,0.0677158006336816,6.6873469387755105
7,4,175,4.0616628442208156e-154,6.6873469387755105
7,3,175,2.661405121644021e-230,6.6873469387755105
7,2,175,1.1034695684839748e-77,6.6873469387755105
7,1,175,3.2695271881922117,6.6873469387755105
8,7,175,9.266056724141718,5.851428571428571
8,6,175,26.59682043278658,5.851428571428571
8,5,175,5.1732924190225235e-154,5.851428571428571
8,4,175,5.3734159786516255e-230,5.851428571428571
8,3,175,2.594206548178268e-154,5.851428571428571
8,2,175,7.881445354090477e-154,5.851428571428571
16,15,175,8.596761104796073,2.9257142857142857
16,14,175,32.586758994581565,2.9257142857142857
16,13,175,37.51461844866488,2.9257142857142857
16,12,175,38.376650037328865,2.9257142857142857
16,11,175,37.75186501883211,2.9257142857142857
16,10,175,38.35168762322049,2.9257142857142857
32,31,175,9.279528213235718,1.4628571428571429
32,30,175,32.81998594936146,1.4628571428571429
32,29,175,37.45739794122344,1.4628571428571429
32,28,175,38.30780188785325,1.4628571428571429
32,27,175,37.43500387061537,1.4628571428571429
32,26,175,37.62087004847688,1.4628571428571429
4,3,200,2.162591048019384,10.24
4,2,200,1.365385404060765,10.24
4,1,200,3.2695271881922117,10.24
5,4,200,0.8274424444551934,8.192
5,3,200,4.644902824259141e-78,8.192
5,2,200,1.2726660344874043,8.192
5,1,200,3.2695271881922117,8.192
6,5,200,6.671096903209311,6.826666666666667
6,4,200,4.66400521731493e-154,6.826666666666667
6,3,200,2.6058641941284296e-154,6.826666666666667
6,2,200,0.28619460765158383,6.826666666666667
6,1,200,3.2695271881922117,6.826666666666667
7,6,200,8.746154475410176,5.851428571428571
7,5,200,0.1158418856020347,5.851428571428571
7,4,200,4.310016143738064e-154,5.851428571428571
7,3,200,1.4377517630068933e-154,5.851428571428571
7,2,200,1.0728066763274133e-153,5.851428571428571
7,1,200,3.2695271881922117,5.851428571428571
8,7,200,10.931408096722622,5.12
8,6,200,26.786015396760853,5.12
8,5,200,4.269409554350926e-154,5.12
8,4,200,3.7438281241952037e-78,5.12
8,3,200,2.601610732149562e-154,5.12
8,2,200,7.1969998227875e-154,5.12
16,15,200,10.0090240595097,2.56
16,14,200,35.43370540217516,2.56
16,13,200,38.65565589245478,2.56
16,12,200,39.292715351936174,2.56
16,11,200,39.514272221628296,2.56
16,10,200,38.467094087828514,2.56
32,31,200,9.43785567386074,1.28
32,30,200,35.97995937798087,1.28
32,29,200,38.68607763537752,1.28
32,28,200,39.0212393107792,1.28
32,27,200,39.71936134219916,1.28
32,26,200,39.27989173976279,1.28
4,3,225,2.262610588994907,9.102222222222222
4,2,225,1.365385404060765,9.102222222222222
4,1,225,3.2695271881922117,9.102222222222222
