Word Length,Rank,MSE Layer 1,Iterative MSE Layer 1,Delta MSE Layer 1,MSE Layer 2,Iterative MSE Layer 2,Delta MSE Layer 2,MSE Layer 3,Iterative MSE Layer 3,Delta MSE Layer 3,MSE Layer 4,Iterative MSE Layer 4,Delta MSE Layer 4,MSE Layer 5,Iterative MSE Layer 5,Delta MSE Layer 5,MSE Layer 6,Iterative MSE Layer 6,Delta MSE Layer 6,Compression Ratio
6,85,0.001435631886124611,0.0014351827558130026,4.491303116083145e-07,0.0010260113049298525,0.0010253688087686896,6.424961611628532e-07,0.001181465806439519,0.001181107247248292,3.5855919122695923e-07,0.0012875028187409043,0.0012868011835962534,7.016351446509361e-07,0.0013447823002934456,0.0013443485368043184,4.337634891271591e-07,0.0012599534820765257,0.0012593120336532593,6.414484232664108e-07,16.062745098039215
6,105,0.001187363639473915,0.0011867238208651543,6.398186087608337e-07,0.0008607163326814771,0.0008598670247010887,8.493079803884029e-07,0.0009896437404677272,0.0009891472291201353,4.96511347591877e-07,0.001073253806680441,0.0010723159648478031,9.378418326377869e-07,0.0011134841479361057,0.0011128656333312392,6.185146048665047e-07,0.0010437177261337638,0.0010428547393530607,8.629867807030678e-07,13.003174603174603
6,125,0.0009785379515960813,0.0009776956867426634,8.422648534178734e-07,0.0007197241066023707,0.0007186566363088787,1.0674702934920788e-06,0.0008256879518739879,0.0008250314276665449,6.565242074429989e-07,0.0008905106224119663,0.0008893207996152341,1.1898227967321873e-06,0.0009204306406900287,0.0009196136961691082,8.169445209205151e-07,0.0008617764106020331,0.0008606600458733737,1.1163647286593914e-06,10.922666666666666
6,145,0.0008025150164030492,0.0008014567429199815,1.058273483067751e-06,0.0005983063019812107,0.0005970104248262942,1.2958771549165249e-06,0.0006855428218841553,0.0006847192998975515,8.235219866037369e-07,0.0007353418041020632,0.0007338845171034336,1.45728699862957e-06,0.0007566604763269424,0.0007556276395916939,1.0328367352485657e-06,0.0007081481162458658,0.0007067868718877435,1.3612443581223488e-06,9.416091954022988
6,165,0.0006541299517266452,0.0006528368103317916,1.293141394853592e-06,0.0004943053936585784,0.0004927671980112791,1.5381956472992897e-06,0.0005653874250128865,0.0005643899203278124,9.97504685074091e-07,0.0006026974879205227,0.0006009679054841399,1.7295824363827705e-06,0.0006177189061418176,0.0006164695369079709,1.2493692338466644e-06,0.0005781285581178963,0.0005765055539086461,1.6230042092502117e-06,8.274747474747475
8,64,0.0017432218883186579,0.0017432044260203838,1.7462298274040222e-08,0.0012269992148503661,0.001226974418386817,2.4796463549137115e-08,0.0014156237011775374,0.0014156093820929527,1.4319084584712982e-08,0.0015484545147046447,0.0015484283212572336,2.6193447411060333e-08,0.0016359109431505203,0.001635894412174821,1.6530975699424744e-08,0.0015308314468711615,0.0015308046713471413,2.6775524020195007e-08,16.0
8,80,0.0015006012981757522,0.0015005767345428467,2.4563632905483246e-08,0.0010669981129467487,0.0010669645853340626,3.3527612686157227e-08,0.001231240457855165,0.001231220900081098,1.955777406692505e-08,0.0013413572451099753,0.0013413212727755308,3.597233444452286e-08,0.0014055430656298995,0.0014055193169042468,2.3748725652694702e-08,0.001315213507041335,0.001315177301876247,3.620516508817673e-08,12.8
8,96,0.0012894177343696356,0.0012893849052488804,3.282912075519562e-08,0.0009269668953493237,0.0009269234724342823,4.3422915041446686e-08,0.001068890793249011,0.0010688644833862782,2.6309862732887268e-08,0.0011599584249779582,0.0011599117424339056,4.668254405260086e-08,0.0012080813758075237,0.0012080491287633777,3.2247044146060944e-08,0.0011306595988571644,0.001130613498389721,4.6100467443466187e-08,10.666666666666666
8,112,0.0011053946800529957,0.001105352770537138,4.190951585769653e-08,0.0008037713123485446,0.0008037177613005042,5.3551048040390015e-08,0.0009255683980882168,0.0009255349868908525,3.341119736433029e-08,0.0010000760667026043,0.0010000172769650817,5.878973752260208e-08,0.0010372221004217863,0.0010371813550591469,4.0745362639427185e-08,0.0009708668803796172,0.0009708101861178875,5.6694261729717255e-08,9.142857142857142
8,128,0.0009449240751564503,0.0009448722703382373,5.180481821298599e-08,0.0006948722875677049,0.0006948082591407001,6.402842700481415e-08,0.0007993355393409729,0.0007992945029400289,4.103640094399452e-08,0.0008593284292146564,0.0008592576486989856,7.078051567077637e-08,0.000889183662366122,0.0008891333709470928,5.029141902923584e-08,0.000830981123726815,0.0008309126715175807,6.845220923423767e-08,8.0
16,32,0.0023517273366451263,0.0023517273366451263,0.0,0.0016254766378551722,0.001625476754270494,-1.1641532182693481e-10,0.0018753003096207976,0.0018753003096207976,0.0,0.0020665149204432964,0.0020665149204432964,0.0,0.0022149141877889633,0.0022149141877889633,0.0,0.002100179437547922,0.002100179437547922,0.0,16.0
16,40,0.00218112301081419,0.00218112301081419,0.0,0.0015125677455216646,0.0015125678619369864,-1.1641532182693481e-10,0.0017459955997765064,0.0017459955997765064,0.0,0.001920617651194334,0.001920617651194334,0.0,0.002052954863756895,0.002052954863756895,0.0,0.0019336675759404898,0.0019336675759404898,0.0,12.8
16,48,0.002023855922743678,0.002023855922743678,0.0,0.0014097029343247414,0.0014097029343247414,0.0,0.0016271978383883834,0.0016271978383883834,0.0,0.0017867865972220898,0.0017867865972220898,0.0,0.001903626136481762,0.001903626136481762,0.0,0.0017854952020570636,0.0017854952020570636,0.0,10.666666666666666
16,56,0.0018783112755045295,0.001878311624750495,-3.4924596548080444e-10,0.001314777648076415,0.001314777648076415,0.0,0.0015176916494965553,0.0015176916494965553,0.0,0.00166313664522022,0.001663136761635542,-1.1641532182693481e-10,0.0017646763008087873,0.0017646764172241092,-1.1641532182693481e-10,0.0016522117657586932,0.0016522116493433714,1.1641532182693481e-10,9.142857142857142
16,64,0.0017429960425943136,0.0017429960425943136,0.0,0.0012267193524166942,0.0012267193524166942,0.0,0.001415445003658533,0.001415445003658533,0.0,0.0015481521841138601,0.0015481521841138601,0.0,0.0016356901032850146,0.0016356902197003365,-1.1641532182693481e-10,0.0015305349370464683,0.0015305349370464683,0.0,8.0
