NZr,NZc,Tr,Tc,MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s)
2,22,64,8,0.002949499486849834,13,16058.25,31668,286,1.7740927998207308,22.145454545454548,17.740927998207308,1.7850250000000001e-06
2,24,64,8,0.0029686449686936616,12,15591.0,30768,288,1.770005177472243,21.366666666666664,17.70005177472243,1.7383000000000002e-06
2,6,64,16,0.0029852543630804473,25,22843.75,44900,150,1.8225546208254264,59.86666666666667,18.225546208254265,2.463575e-06
2,7,64,16,0.0029794991028119252,22,21510.5,42328,154,1.816457461645746,54.97142857142857,18.16457461645746,2.33025e-06
2,8,64,16,0.002975571765153955,19,19793.25,38988,152,1.8062334232867352,51.3,18.06233423286735,2.1585250000000002e-06
2,9,64,16,0.0029652977792467834,17,18797.75,37060,153,1.7999247198241843,48.44444444444444,17.999247198241843,2.058975e-06
2,10,64,16,0.0029639262139074117,15,17546.25,34620,150,1.7902343800499012,46.16,17.90234380049901,1.933825e-06
2,11,64,16,0.0029986752131040506,13,16038.75,31668,143,1.7760329767396212,44.290909090909096,17.76032976739621,1.783075e-06
2,12,64,16,0.0029686449686936616,12,15573.0,30768,144,1.7718399078606393,42.73333333333333,17.718399078606392,1.7365e-06
2,3,64,32,0.0029930126575878017,25,22825.0,44900,75,1.8239428037535037,119.73333333333333,18.23942803753504,2.4616999999999997e-06
2,4,64,32,0.0029424257939227256,20,20820.0,41040,80,1.814965505041571,102.6,18.14965505041571,2.2611999999999996e-06
2,5,64,32,0.002939744346609907,16,18704.0,36928,80,1.8017174082747853,92.32,18.017174082747854,2.0496e-06
2,6,64,32,0.0029686449686936616,12,15564.0,30768,72,1.7727587001613274,85.46666666666665,17.727587001613273,1.7356000000000002e-06
2,2,64,64,0.0029310791855043693,20,20812.5,41040,40,1.8155676966975602,205.2,18.1556769669756,2.26045e-06
2,3,64,64,0.0029686449686936616,12,15559.5,30768,36,1.7732184537359883,170.9333333333333,17.732184537359885,1.7351499999999998e-06
