NZr,NZc,Tr,Tc,MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s),DSP Usage,Simulated Ncycles,Simulated Execution Time (s)
7,48,16,2,0.002927173645256874,19,41724.0,20672,912,0.47504366210129606,4.533333333333334,4.533333333333334,4.559999999999999e-06,90,973,4.865e-06
7,56,16,2,0.002984920840048679,16,36160.0,17920,896,0.47217537942664417,4.0,4.0,4.48e-06,90,954,4.77e-06
7,64,16,2,0.002942861897790036,15,34860.0,17280,960,0.47146131179744627,3.6,3.6,4.8e-06,90,1017,5.085e-06
7,72,16,2,0.0029437801149967253,14,33432.0,16576,1008,0.47058823529411764,3.2888888888888888,3.2888888888888888,5.04e-06,90,1064,5.32e-06
7,80,16,2,0.0029889354578708205,13,31876.0,15808,1040,0.46952595936794583,3.04,3.04,5.2e-06,90,1095,5.475e-06
7,88,16,2,0.002953568367835712,13,32708.0,16224,1144,0.4702608695652174,2.8363636363636364,2.8363636363636364,5.72e-06,90,1199,5.995e-06
7,96,16,2,0.0029421680352645363,13,33540.0,16640,1248,0.47096116834597535,2.666666666666667,2.666666666666667,6.239999999999999e-06,90,1303,6.515e-06
7,12,16,8,0.0029758398925916157,25,54675.0,27200,700,0.4816972745143181,7.7714285714285705,4.816972745143181,5.6467e-06,120,0,0.0
7,14,16,8,0.002954221330723463,22,49522.0,24640,616,0.4801808473321121,8.0,4.80180847332112,5.1314000000000005e-06,120,0,0.0
7,16,16,8,0.0029649571019763343,19,43985.0,21888,532,0.4781440461367062,8.22857142857143,4.781440461367062,4.5777e-06,120,0,0.0
7,18,16,8,0.0029684123998994366,17,40443.0,20128,476,0.47657156386882915,8.457142857142857,4.765715638688292,4.2235e-06,120,0,0.0
7,20,16,8,0.002972049974242662,15,36645.0,18240,420,0.4745427582797825,8.685714285714287,4.7454275827978245,3.8437e-06,120,0,0.0
7,22,16,8,0.0029369127078580966,14,35098.0,17472,392,0.47362428842504745,8.914285714285715,4.7362428842504745,3.689e-06,120,0,0.0
7,24,16,8,0.0029421680352645363,13,33423.0,16640,364,0.47252591225330115,9.142857142857142,4.725259122533012,3.5215e-06,120,0,0.0
7,6,16,16,0.002948480166512096,27,59008.5,29376,756,0.48315392143156716,7.7714285714285705,4.831539214315671,6.080050000000001e-06,160,0,0.0
7,7,16,16,0.002957160845558695,24,53988.0,26880,672,0.48189315166726426,8.0,4.8189315166726425,5.578e-06,160,0,0.0
7,8,16,16,0.002927877864030839,21,48583.5,24192,588,0.4802334468144237,8.22857142857143,4.802334468144237,5.037549999999999e-06,160,0,0.0
7,9,16,16,0.002989623970743857,18,42795.0,21312,504,0.4779868571556732,8.457142857142857,4.779868571556732,4.4587e-06,160,0,0.0
7,10,16,16,0.002971556556049603,16,39064.0,19456,448,0.4762091247307617,8.685714285714287,4.762091247307617,4.0856e-06,160,0,0.0
7,11,16,16,0.0029869901976871567,14,35077.0,17472,392,0.47389405733814316,8.914285714285715,4.738940573381432,3.6869000000000002e-06,160,0,0.0
7,12,16,16,0.0029421680352645363,13,33403.5,16640,364,0.47278771433848077,9.142857142857142,4.7278771433848075,3.51955e-06,160,0,0.0
8,48,16,2,0.0029804565003013136,17,41684.0,20672,816,0.4754807249976999,5.066666666666666,4.754807249976999,4.3476000000000005e-06,90,0,0.0
8,56,16,2,0.0029738570137158656,15,37740.0,18720,840,0.4735404229484974,4.457142857142857,4.457142857142857,4.2e-06,90,898,4.49e-06
8,64,16,2,0.002942406271523149,14,36120.0,17920,896,0.4726735598227474,4.0,4.0,4.48e-06,90,953,4.765e-06
8,72,16,2,0.0029557970217129644,13,34372.0,17056,936,0.47162924455259375,3.6444444444444444,3.6444444444444444,4.68e-06,90,992,4.96e-06
