NZr,NZc,Tr,Tc,MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s)
14,11,8,16,0.0029509983740498135,15,17572.5,34620,210,1.7878075860466318,32.971428571428575,17.878075860466318,1.93645e-06
14,12,8,16,0.002911094379788654,14,17297.0,34104,196,1.7865786578657865,34.8,17.865786578657865,1.9089e-06
14,3,8,32,0.002968594243371946,29,24671.75,48372,406,1.8278588635397477,23.82857142857143,18.278588635397476,2.6463750000000006e-06
14,4,8,32,0.0029708902314191446,22,21532.5,42328,308,1.81474415314369,27.485714285714284,18.1474415314369,2.3324500000000004e-06
14,5,8,32,0.0029984985200334556,17,18814.75,37060,238,1.7984398316085748,31.142857142857146,17.98439831608575,2.0606750000000004e-06
14,6,8,32,0.002911094379788654,14,17286.5,34104,196,1.7875619152449091,34.8,17.87561915244909,1.9078500000000003e-06
14,2,8,64,0.0029367764402776736,22,21524.25,42328,308,1.815386264943977,27.485714285714284,18.15386264943977,2.331625e-06
14,3,8,64,0.002911094379788654,14,17281.25,34104,196,1.788053949903661,34.8,17.880539499036608,1.907325e-06
14,1,8,192,0.002911094379788654,14,17277.75,34104,196,1.7883821235202348,34.8,17.883821235202348,1.906975e-06
16,48,8,2,0.002980456483356638,17,15742.0,30532,816,1.7413026120679822,7.483333333333333,7.483333333333333,4.08e-06
16,56,8,2,0.0029738570131868443,15,14850.0,28860,840,1.7341665665184474,6.871428571428571,6.871428571428571,4.2e-06
16,64,8,2,0.0029424062714346506,14,14756.0,28728,896,1.736040609137056,6.4125,6.4125,4.48e-06
16,72,8,2,0.0029557970247726965,13,14534.0,28340,936,1.7358814161460248,6.055555555555555,6.055555555555555,4.68e-06
16,80,8,2,0.002888656317939515,13,15366.0,30004,1040,1.7486886583517893,5.77,5.77,5.2e-06
16,88,8,2,0.0029798296411803283,12,14952.0,29232,1056,1.745819397993311,5.536363636363637,5.536363636363637,5.279999999999999e-06
16,96,8,2,0.0029686449686937228,12,15720.0,30768,1152,1.7569666514390132,5.341666666666666,5.341666666666666,5.760000000000001e-06
16,12,8,8,0.0029449445914664836,24,22008.0,43104,384,1.8110924369747898,22.45,18.1109243697479,2.38e-06
16,14,8,8,0.002935489345529278,21,20601.0,40404,336,1.8043138480775243,24.05,18.04313848077524,2.2393000000000003e-06
16,16,8,8,0.002952955442155464,18,18810.0,36936,288,1.7928356470245608,25.65,17.928356470245607,2.0601999999999998e-06
16,18,8,8,0.0029492956286271263,16,17744.0,34880,288,1.7854217854217853,24.22222222222222,17.854217854217854,1.9536e-06
16,20,8,8,0.0029758559890831785,14,16422.0,32312,280,1.7740199846272098,23.08,17.7401998462721,1.8214e-06
16,22,8,8,0.0029494994901861932,13,16081.0,31668,286,1.7718346108655514,22.145454545454548,17.718346108655513,1.7873e-06
16,24,8,8,0.0029686449686937228,12,15612.0,30768,288,1.7678694552976326,21.366666666666664,17.678694552976324,1.7404000000000003e-06
16,6,8,16,0.0029852544104216608,25,22887.5,44900,400,1.819323730221439,22.45,18.19323730221439,2.46795e-06
16,7,8,16,0.002979499103792784,22,21549.0,42328,352,1.8134612912900048,24.05,18.134612912900046,2.3341000000000002e-06
16,8,8,16,0.002975571762756823,19,19826.5,38988,304,1.8034553738696024,25.65,18.034553738696026,2.16185e-06
16,9,8,16,0.0029652977637237396,17,18827.5,37060,272,1.7973277722544194,27.25,17.973277722544193,2.0619500000000002e-06
16,10,8,16,0.0029639262143699814,15,17572.5,34620,240,1.7878075860466318,28.85,17.878075860466318,1.93645e-06
16,11,8,16,0.0029986752168192645,13,16061.5,31668,208,1.773769849049206,30.45,17.73769849049206,1.78535e-06
16,12,8,16,0.0029686449686937228,12,15594.0,30768,192,1.76969975842632,32.05,17.6969975842632,1.7386e-06
16,3,8,32,0.0029930126691223627,25,22868.75,44900,400,1.8207069939073224,22.45,18.207069939073225,2.466075e-06
16,4,8,32,0.002942425794775594,20,20855.0,41040,320,1.8121605510663663,25.65,18.121605510663663,2.2647e-06
16,5,8,32,0.002939744353826764,16,18732.0,36928,256,1.7992594036250245,28.85,17.992594036250246,2.0523999999999996e-06
16,6,8,32,0.0029686449686937228,12,15585.0,30768,192,1.7706163319330148,32.05,17.706163319330148,1.7377000000000001e-06
16,2,8,64,0.002931079203795311,20,20847.5,41040,320,1.8127608825283243,25.65,18.127608825283243,2.26395e-06
16,3,8,64,0.0029686449686937228,12,15580.5,30768,192,1.7710749748165204,32.05,17.710749748165206,1.7372499999999998e-06
16,1,8,192,0.0029686449686937228,12,15577.5,30768,192,1.7713808687642132,32.05,17.713808687642132,1.73695e-06
4,48,16,2,0.0029969409389760783,36,24084.0,46224,1728,1.7863657443190601,5.35,5.35,8.64e-06
4,56,16,2,0.0029752101460168213,33,24189.0,46596,1848,1.7934644547938878,5.042857142857143,5.042857142857143,9.24e-06
4,64,16,2,0.0029776446551573097,30,23910.0,46200,1920,1.7975254843981012,4.8125,4.8125,9.6e-06
4,72,16,2,0.002969295996334914,28,24108.0,46704,2016,1.8032432432432433,4.633333333333334,4.633333333333334,1.008e-05
4,80,16,2,0.002998069701804334,26,24050.0,46696,2080,1.8069808838325208,4.49,4.49,1.04e-05
4,88,16,2,0.002998962851343464,25,24725.0,48100,2200,1.8139306859750348,4.372727272727273,4.372727272727273,1.1e-05
4,96,16,2,0.00298805086100816,25,26325.0,51300,2400,1.824518974286019,4.275,4.275,1.1999999999999999e-05
4,12,16,8,0.0029904672158805796,51,33660.0,65484,612,1.8471172289292566,21.4,18.471172289292564,3.5452000000000004e-06
4,14,16,8,0.002964624830785807,45,32580.0,63540,630,1.848597695798906,20.17142857142857,18.48597695798906,3.4372000000000003e-06
4,16,16,8,0.0029815478722211002,39,30732.0,60060,624,1.8466363300946993,19.25,18.466363300946995,3.2523999999999996e-06
4,18,16,8,0.002998960614522678,33,28116.0,55044,594,1.8404440283536179,18.533333333333335,18.40444028353618,2.9908e-06
4,20,16,8,0.0029719663533350964,30,27480.0,53880,600,1.8406668488658102,17.96,17.96,3e-06
4,22,16,8,0.0029683057245258266,27,26460.0,51948,594,1.8387370805606682,17.490909090909092,17.490909090909092,2.97e-06
4,24,16,8,0.00298805086100816,25,26100.0,51300,600,1.8392370572207084,17.1,17.1,2.9999999999999997e-06
4,6,16,16,0.0029726333404544365,56,36876.0,71904,336,1.8595220854453294,42.8,18.595220854453295,3.8668e-06
4,7,16,16,0.0029804321940893217,48,34680.0,67776,336,1.8583022592673832,40.34285714285714,18.58302259267383,3.6472000000000004e-06
4,8,16,16,0.002988695480409916,40,31460.0,61600,320,1.85252014916396,38.5,18.5252014916396,3.3252000000000004e-06
4,9,16,16,0.002960094846773747,37,31468.5,61716,333,1.8555343425384465,37.06666666666667,18.555343425384464,3.32605e-06
4,10,16,16,0.002995970626338268,31,28349.5,55676,310,1.8471542557603304,35.92,18.471542557603303,3.01415e-06
4,11,16,16,0.0029432247179271578,29,28376.5,55796,319,1.8494787609592787,34.981818181818184,18.494787609592787,3.0168499999999998e-06
4,12,16,16,0.00298805086100816,25,26062.5,51300,300,1.8417131881742628,34.2,18.417131881742627,2.7854499999999997e-06
4,3,16,32,0.0029811507957353493,59,38807.25,75756,236,1.86594579949137,64.2,18.6594579949137,4.059925e-06
4,4,16,32,0.002984328683601899,44,34573.0,67760,176,1.863330125120308,77.0,18.63330125120308,3.6365e-06
4,5,16,32,0.002992195370921726,32,29240.0,57472,160,1.8520237174529517,71.84,18.520237174529516,3.1032e-06
4,6,16,32,0.00298805086100816,25,26043.75,51300,150,1.842953755512246,68.4,18.429537555122458,2.7835750000000003e-06
4,2,16,64,0.0029975170634605154,42,32985.75,64680,168,1.8598097921803451,77.0,18.59809792180345,3.477775e-06
4,3,16,64,0.00298805086100816,25,26034.375,51300,100,1.8435746661216201,102.6,18.4357466612162,2.7826375000000003e-06
4,1,16,192,0.00298805086100816,25,26028.125,51300,100,1.8439888390149217,102.6,18.439888390149218,2.7820125e-06
5,48,16,2,0.0029998286283391905,29,21257.0,40948,1392,1.7765629745325178,5.883333333333334,5.883333333333334,6.9599999999999994e-06
5,56,16,2,0.002977443776211059,26,20722.0,40040,1456,1.7784489650883895,5.5,5.5,7.28e-06
5,64,16,2,0.002956185491035568,24,20664.0,40032,1536,1.7826861417883861,5.2125,5.2125,7.68e-06
5,72,16,2,0.0029946402228883187,22,20350.0,39512,1584,1.7844819799476108,4.988888888888889,4.988888888888889,7.92e-06
5,80,16,2,0.0029436955643788107,22,21758.0,42328,1760,1.7973673036093418,4.81,4.81,8.8e-06
5,88,16,2,0.0029576635266331374,21,22113.0,43092,1848,1.8026354319180087,4.663636363636363,4.663636363636363,9.240000000000001e-06
5,96,16,2,0.0029455791932754705,21,23457.0,45780,2016,1.8131411144995842,4.541666666666666,4.541666666666666,1.0080000000000002e-05
5,12,16,8,0.0029938988067570605,40,28960.0,56480,480,1.8366285119667014,23.533333333333335,18.366285119667015,3.0752e-06
5,14,16,8,0.0029899156069302536,34,26792.0,52360,476,1.8317940106353205,22.0,18.317940106353205,2.8583999999999996e-06
5,16,16,8,0.0029697103863207527,30,25560.0,50040,480,1.829482304767476,20.85,18.29482304767476,2.7351999999999997e-06
5,18,16,8,0.002962546205325274,27,24732.0,48492,486,1.828231036042829,19.955555555555556,18.28231036042829,2.6524000000000002e-06
5,20,16,8,0.0029719042632580395,24,23520.0,46176,480,1.8242730720606828,19.24,18.24273072060683,2.5312e-06
5,22,16,8,0.0029774518600222946,22,22968.0,45144,484,1.8232633279483037,18.654545454545453,18.232633279483036,2.476e-06
5,24,16,8,0.0029455791932754705,21,23268.0,45780,504,1.8268156424581006,18.166666666666664,18.166666666666664,2.5200000000000004e-06
5,6,16,16,0.0029846816982680305,44,31790.0,62128,264,1.850038711214341,47.06666666666667,18.50038711214341,3.3582e-06
5,7,16,16,0.002976240365993649,37,29100.5,56980,259,1.8444606296026544,44.0,18.444606296026546,3.0892499999999997e-06
5,8,16,16,0.0029606097089197423,33,28066.5,55044,264,1.843495152134233,41.7,18.43495152134233,2.98585e-06
5,9,16,16,0.0029664560016248427,29,26520.5,52084,261,1.8396114790286975,39.91111111111111,18.396114790286976,2.83125e-06
5,10,16,16,0.0029664026232206473,25,24462.5,48100,250,1.8320668837723058,38.48,18.32066883772306,2.62545e-06
5,11,16,16,0.002952881392396419,23,23977.5,47196,253,1.8314674324298104,37.309090909090905,18.314674324298103,2.5769500000000004e-06
5,12,16,16,0.0029455791932754705,21,23236.5,45780,252,1.829114809117606,36.33333333333333,18.29114809117606,2.50285e-06
5,3,16,32,0.002991755270658085,45,32478.75,63540,225,1.8540592195968866,56.47999999999999,18.540592195968866,3.4270749999999997e-06
5,4,16,32,0.0029559194299791066,34,28891.5,56712,170,1.8482897974481398,66.72,18.482897974481396,3.0683500000000004e-06
5,5,16,32,0.0029773530538342173,26,25421.5,50024,130,1.8382053025152958,76.96,18.382053025152956,2.72135e-06
5,6,16,32,0.0029455791932754705,21,23220.75,45780,126,1.8302665640523332,72.66666666666666,18.302665640523333,2.501275e-06
5,2,16,64,0.0029646850457622554,34,28878.75,56712,170,1.849058141714826,66.72,18.49058141714826,3.067075e-06
5,3,16,64,0.0029455791932754705,21,23212.875,45780,105,1.8308429856178046,87.2,18.308429856178044,2.5004875e-06
5,1,16,192,0.0029455791932754705,21,23207.625,45780,105,1.8312274684120262,87.2,18.31227468412026,2.4999625e-06
6,48,16,2,0.002985657472795746,25,19925.0,38500,1200,1.7728047152000737,6.416666666666667,6.416666666666667,6e-06
6,56,16,2,0.002969367892027213,22,18942.0,36696,1232,1.7698466287257644,5.957142857142857,5.957142857142857,6.16e-06
6,64,16,2,0.0029683534803622213,20,18500.0,35920,1280,1.7701557263946384,5.6125,5.6125,6.4e-06
6,72,16,2,0.0029585954962461965,19,18791.0,36556,1368,1.7760287615993782,5.344444444444444,5.344444444444444,6.84e-06
6,80,16,2,0.0029664970419061108,18,18954.0,36936,1440,1.7803914007519521,5.13,5.13,7.2e-06
6,88,16,2,0.0029310863632081643,18,20106.0,39240,1584,1.791944469814595,4.954545454545455,4.954545454545455,7.919999999999999e-06
6,96,16,2,0.002915630741563111,18,21258.0,41544,1728,1.80234273318872,4.808333333333334,4.808333333333334,8.64e-06
6,12,16,8,0.0029776459610765123,34,26792.0,52360,408,1.8317940106353205,25.666666666666668,18.317940106353205,2.8583999999999996e-06
6,14,16,8,0.002968504703693607,29,24708.0,48372,406,1.8253584905660378,23.82857142857143,18.25358490566038,2.65e-06
6,16,16,8,0.002992838189536378,25,22900.0,44900,400,1.8184027215292402,22.45,18.184027215292403,2.4692e-06
6,18,16,8,0.002960699317446208,23,22540.0,44252,414,1.8186749958901858,21.377777777777776,18.186749958901856,2.4332000000000003e-06
6,20,16,8,0.0029350554007660738,21,21924.0,43092,420,1.8170011806375443,20.52,18.17001180637544,2.3716000000000003e-06
6,22,16,8,0.0029362170612838804,19,21052.0,41420,418,1.8131675713535282,19.81818181818182,18.131675713535284,2.2844e-06
6,24,16,8,0.002915630741563111,18,21096.0,41544,432,1.8150996155190493,19.233333333333334,18.150996155190494,2.2887999999999996e-06
6,6,16,16,0.00297514685288844,36,28314.0,55440,216,1.8414933900219226,51.333333333333336,18.414933900219225,3.0106e-06
