NZr,NZc,Tr,Tc,MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s),DSP Usage,Simulated Execution Time (s),Simulated Ncycles
16,18,4,8,0.0029685202341793405,27,23085.0,45036,486,1.8103469067813642,18.533333333333335,18.10346906781364,2.4877000000000003e-06,136,0.0,0.0
16,20,4,8,0.002951700021199725,24,22056.0,43104,480,1.8074471653807447,17.96,17.96,2.4e-06,136,3.265e-06,653.0
16,22,4,8,0.0029666291892841584,22,21626.0,42328,484,1.8074985054231787,17.490909090909092,17.490909090909092,2.42e-06,136,3.275e-06,655.0
16,24,4,8,0.0029870071530699845,20,20940.0,41040,480,1.8053844800281542,17.1,17.1,2.4e-06,136,3.245e-06,649.0
16,6,4,16,0.0029895193762617543,45,29767.5,57780,720,1.830827484592595,16.05,16.05,3.6e-06,176,4.525e-06,905.0
16,7,4,16,0.0029971937333486327,37,26843.5,52244,592,1.8244486738488939,17.65,17.65,2.9600000000000005e-06,176,3.85e-06,770.0
16,8,4,16,0.002991518717652829,32,25264.0,49280,512,1.8214074512123004,19.25,18.214074512123005,2.7056e-06,176,0.0,0.0
16,9,4,16,0.002965451529917102,29,24751.5,48372,464,1.8223670578484374,20.85,18.223670578484374,2.6543500000000003e-06,176,0.0,0.0
16,10,4,16,0.0029940343250536134,25,22937.5,44900,400,1.8156452819507067,22.45,18.156452819507066,2.4729499999999998e-06,176,0.0,0.0
16,11,4,16,0.002959574496231828,23,22574.5,44252,368,1.8160999733240308,24.05,18.16099973324031,2.43665e-06,176,0.0,0.0
16,12,4,16,0.0029870071530699845,20,20910.0,41040,320,1.8077702405074443,25.65,18.077702405074444,2.2702e-06,176,0.0,0.0
20,48,4,2,0.0029979912364916836,24,17664.0,33888,1152,1.7417763157894737,5.883333333333334,5.883333333333334,5.76e-06,106,6.635e-06,1327.0
20,56,4,2,0.0029527061040677156,22,17600.0,33880,1232,1.7471122112211221,5.5,5.5,6.16e-06,106,7.025e-06,1405.0
20,64,4,2,0.0029507214189506597,20,17280.0,33360,1280,1.7491610738255035,5.2125,5.2125,6.4e-06,106,7.255e-06,1451.0
20,72,4,2,0.002928331501458364,19,17632.0,34124,1368,1.7567957166392092,4.988888888888889,4.988888888888889,6.84e-06,106,7.69e-06,1538.0
20,80,4,2,0.0029428031168584117,18,17856.0,34632,1440,1.7626221498371335,4.81,4.81,7.2000000000000005e-06,106,8.045e-06,1609.0
20,88,4,2,0.002999519601453219,17,17952.0,34884,1496,1.7668152350081037,4.663636363636363,4.663636363636363,7.480000000000001e-06,106,8.32e-06,1664.0
20,96,4,2,0.0029720600939675246,17,19040.0,37060,1632,1.7789938556067588,4.541666666666666,4.541666666666666,8.160000000000001e-06,106,9e-06,1800.0
20,12,4,8,0.0029671768088705233,34,24718.0,48008,680,1.810939268200679,14.119999999999997,14.119999999999997,3.4000000000000005e-06,136,4.295e-06,859.0
20,14,4,8,0.0029976754487248307,29,22939.0,44660,580,1.8058307387489385,15.4,15.4,2.9e-06,136,3.78e-06,756.0
20,16,4,8,0.0029942836825998624,25,21375.0,41700,500,1.7999741010920707,16.68,16.68,2.5e-06,136,3.37e-06,674.0
20,18,4,8,0.0029641307868296693,23,21137.0,41308,460,1.801561341532557,17.96,17.96,2.3e-06,136,3.17e-06,634.0
20,20,4,8,0.002994202792459067,20,19660.0,38480,400,1.7937721424575797,19.24,17.9377214245758,2.1452e-06,136,0.0,0.0
20,22,4,8,0.0029939622181392013,18,18846.0,36936,396,1.7897083050683207,18.654545454545453,17.897083050683207,2.0637999999999996e-06,136,0.0,0.0
20,24,4,8,0.0029720600939675246,17,18887.0,37060,408,1.7921562938246531,18.166666666666664,17.92156293824653,2.0679e-06,136,0.0,0.0
20,6,4,16,0.0029795673912807537,37,26843.5,52244,740,1.8244486738488939,14.119999999999997,14.119999999999997,3.7000000000000006e-06,176,4.585e-06,917.0
20,7,4,16,0.002958352157354883,32,25264.0,49280,640,1.8214074512123004,15.4,15.4,3.2e-06,176,4.065e-06,813.0
20,8,4,16,0.0029786340357481527,27,23044.5,45036,540,1.8132989752984519,16.68,16.68,2.7e-06,176,3.545e-06,709.0
20,9,4,16,0.002979452759196387,24,22020.0,43104,480,1.810179741306904,17.96,17.96,2.4e-06,176,3.235e-06,647.0
20,10,4,16,0.0029932720933381683,21,20611.5,40404,420,1.8034682080924855,19.24,18.034682080924856,2.24035e-06,176,0.0,0.0
20,11,4,16,0.00296437180575238,19,19864.5,38988,380,1.80029090573269,20.52,18.0029090573269,2.16565e-06,176,0.0,0.0
20,12,4,16,0.0029720600939675246,17,18861.5,37060,340,1.794368993148861,21.8,17.94368993148861,2.06535e-06,176,0.0,0.0
24,48,4,2,0.002972210988417767,21,16800.0,32340,1008,1.7394578313253013,6.416666666666667,6.416666666666667,5.04e-06,106,5.92e-06,1184.0
24,56,4,2,0.002936030491540495,19,16416.0,31692,1064,1.7405536028119508,5.957142857142857,5.957142857142857,5.32e-06,106,6.19e-06,1238.0
24,64,4,2,0.002949511020420585,17,15776.0,30532,1088,1.7379326047358834,5.6125,5.6125,5.44e-06,106,6.3e-06,1260.0
24,72,4,2,0.0029394093439605493,16,15872.0,30784,1152,1.7427536231884058,5.344444444444444,5.344444444444444,5.76e-06,106,6.615e-06,1323.0
24,80,4,2,0.002971777635613136,15,15840.0,30780,1200,1.7456896551724137,5.13,5.13,6e-06,106,6.85e-06,1370.0
24,88,4,2,0.0029297882523962953,15,16800.0,32700,1320,1.7588209982788297,4.954545454545455,4.954545454545455,6.5999999999999995e-06,106,7.45e-06,1490.0
24,96,4,2,0.0029164243049544947,15,17760.0,34620,1440,1.7706628477905073,4.808333333333334,4.808333333333334,7.2e-06,106,8.05e-06,1610.0
24,12,4,8,0.0029781342454313184,28,22148.0,43120,672,1.8011695906432748,12.833333333333334,12.833333333333334,3.36e-06,136,4.225e-06,845.0
24,14,4,8,0.0029543604378421922,25,21375.0,41700,600,1.7999741010920707,13.9,13.9,3e-06,136,3.86e-06,772.0
24,16,4,8,0.002956673833369294,22,20218.0,39512,528,1.795184007269423,14.966666666666667,14.966666666666667,2.64e-06,136,3.495e-06,699.0
24,18,4,8,0.0029952131424302838,19,18677.0,36556,456,1.7859201719673652,16.033333333333335,16.033333333333335,2.2799999999999993e-06,136,3.13e-06,626.0
24,20,4,8,0.002971875063631302,17,17799.0,34884,408,1.7806135470369047,17.1,17.1,2.04e-06,136,2.89e-06,578.0
24,22,4,8,0.0029142553454010373,16,17776.0,34880,384,1.7825020441537203,18.166666666666664,17.8250204415372,1.9568e-06,136,0.0,0.0
24,24,4,8,0.0029164243049544947,15,17625.0,34620,360,1.78297368285523,19.233333333333334,17.8297368285523,1.9417e-06,136,0.0,0.0
24,6,4,16,0.002992384899620831,30,23685.0,46200,720,1.8134003218589316,12.833333333333334,12.833333333333334,3.6e-06,176,4.45e-06,890.0
24,7,4,16,0.0029662055341465802,27,23044.5,45036,648,1.8132989752984519,13.9,13.9,3.24e-06,176,4.08e-06,816.0
24,8,4,16,0.0029759576528845147,23,21102.5,41308,552,1.8042761361899147,14.966666666666667,14.966666666666667,2.76e-06,176,3.585e-06,717.0
24,9,4,16,0.002996095683473542,20,19630.0,38480,480,1.796284193819438,16.033333333333335,16.033333333333335,2.3999999999999995e-06,176,3.215e-06,643.0
24,10,4,16,0.0029966293922777244,18,18819.0,36936,432,1.7920527873465626,17.1,17.1,2.16e-06,176,2.97e-06,594.0
24,11,4,16,0.002978992520626201,16,17752.0,34880,384,1.784690953745395,18.166666666666664,17.84690953745395,1.9544000000000003e-06,176,0.0,0.0
24,12,4,16,0.0029164243049544947,15,17602.5,34620,360,1.785042151125319,19.233333333333334,17.850421511253188,1.93945e-06,176,0.0,0.0
28,48,4,2,0.0029979676940559493,18,15552.0,30024,864,1.7310885608856088,6.95,6.95,4.32e-06,106,5.205e-06,1041.0
28,56,4,2,0.0029940159579524774,16,14848.0,28736,896,1.726923076923077,6.414285714285714,6.414285714285714,4.48e-06,106,5.355e-06,1071.0
28,64,4,2,0.0029510023903391793,15,14880.0,28860,960,1.731046065259117,6.0125,6.0125,4.8e-06,106,5.67e-06,1134.0
28,72,4,2,0.0029557921853328338,14,14784.0,28728,1008,1.7331081081081081,5.7,5.7,5.04e-06,106,5.905e-06,1181.0
28,80,4,2,0.0028899149496117056,14,15680.0,30520,1120,1.7467948717948718,5.45,5.45,5.6e-06,106,6.465e-06,1293.0
28,88,4,2,0.0029682241782532934,13,15392.0,30004,1144,1.7460428305400373,5.245454545454545,5.245454545454545,5.72e-06,106,6.58e-06,1316.0
28,96,4,2,0.0029555099097207022,13,16224.0,31668,1248,1.7577708703374777,5.075,5.075,6.24e-06,106,7.1e-06,1420.0
28,12,4,8,0.0029612227370354443,25,21375.0,41700,700,1.7999741010920707,11.914285714285715,11.914285714285715,3.5e-06,136,4.35e-06,870.0
28,14,4,8,0.002948098688564136,22,20218.0,39512,616,1.795184007269423,12.828571428571427,12.828571428571427,3.0800000000000006e-06,136,3.925e-06,785.0
28,16,4,8,0.002971152366943558,19,18677.0,36556,532,1.7859201719673652,13.742857142857142,13.742857142857142,2.66e-06,136,3.5e-06,700.0
28,18,4,8,0.0029672786332151715,17,17799.0,34884,476,1.7806135470369047,14.657142857142858,14.657142857142858,2.38e-06,136,3.22e-06,644.0
28,20,4,8,0.002987182241194984,15,16665.0,32700,420,1.7716855393617599,15.571428571428573,15.571428571428573,2.1e-06,136,2.94e-06,588.0
28,22,4,8,0.002937668985784188,14,16450.0,32312,392,1.7712970069071374,16.485714285714288,16.485714285714288,1.96e-06,136,2.805e-06,561.0
28,24,4,8,0.0029555099097207022,13,16107.0,31668,364,1.7692608525615956,17.4,17.4,1.8200000000000002e-06,136,2.67e-06,534.0
28,6,4,16,0.002955636330733833,27,23044.5,45036,756,1.8132989752984519,11.914285714285715,11.914285714285715,3.78e-06,176,4.615e-06,923.0
28,7,4,16,0.0029788696518914842,24,22020.0,43104,672,1.810179741306904,12.828571428571427,12.828571428571427,3.3600000000000004e-06,176,4.185e-06,837.0
28,8,4,16,0.0029412543537974344,21,20611.5,40404,588,1.8034682080924855,13.742857142857142,13.742857142857142,2.94e-06,176,3.755e-06,751.0
28,9,4,16,0.0029862027693269306,18,18819.0,36936,504,1.7920527873465626,14.657142857142858,14.657142857142858,2.52e-06,176,3.325e-06,665.0
28,10,4,16,0.002987839498113072,16,17752.0,34880,448,1.784690953745395,15.571428571428573,15.571428571428573,2.24e-06,176,3.04e-06,608.0
28,11,4,16,0.0029973691262129465,14,16429.0,32312,392,1.7733384556281213,16.485714285714288,16.485714285714288,1.96e-06,176,2.755e-06,551.0
