NZr,NZc,Tr,Tc,MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s)
10,22,8,8,0.0029486819839016974,21,86772.0,43008,462,0.4856149225418906,18.61818181818182,4.856149225418906,8.8564e-06
10,24,8,8,0.0029313987317923997,20,87760.0,43520,480,0.485974629265678,18.133333333333336,4.85974629265678,8.9552e-06
10,6,8,16,0.002972582253805531,40,113840.0,56320,400,0.487062404870624,28.160000000000004,4.87062404870624,1.1563200000000001e-05
10,7,8,16,0.002978659882102293,35,108570.0,53760,350,0.48712419129772927,30.72,4.871241912977292,1.1036200000000001e-05
10,8,8,16,0.002977802827698003,30,100740.0,49920,300,0.4868723910584013,33.28,4.868723910584013,1.02532e-05
10,9,8,16,0.002985174560336344,27,97578.0,48384,270,0.486907517359364,35.84,4.8690751735936395,9.937e-06
10,10,8,16,0.0029680503176695776,24,92880.0,46080,240,0.48673314179482846,38.4,4.867331417948285,9.4672e-06
10,11,8,16,0.0029950948863892504,21,86646.0,43008,231,0.4863067911983536,37.23636363636364,4.863067911983537,8.8438e-06
10,12,8,16,0.0029313987317923997,20,87640.0,43520,240,0.4866267107970301,36.26666666666667,4.866267107970302,8.9432e-06
10,3,8,32,0.002982702161768494,40,113720.0,56320,400,0.4875683911628229,28.160000000000004,4.875683911628229,1.1551199999999999e-05
10,4,8,32,0.002998229954342685,31,104005.0,51584,310,0.48757526205847046,33.28,4.875752620584705,1.05797e-05
10,5,8,32,0.002948037576223784,25,96675.0,48000,250,0.4874729604842231,38.4,4.874729604842231,9.8467e-06
10,6,8,32,0.0029313987317923997,20,87580.0,43520,200,0.48695340822629013,43.52,4.869534082262901,8.937200000000001e-06
10,2,8,64,0.002992000434334049,31,103958.5,51584,310,0.48778965584087075,33.28,4.8778965584087075,1.057505e-05
10,3,8,64,0.0029313987317923997,20,87550.0,43520,200,0.48711692149269104,43.52,4.87116921492691,8.9342e-06
10,1,8,192,0.0029313987317923997,20,87530.0,43520,200,0.4872259913571125,43.52,4.872259913571125,8.932199999999999e-06
12,48,8,2,0.002973966833424147,23,72312.0,35328,1104,0.47673539889884486,6.4,4.767353988988448,7.4104e-06
12,56,8,2,0.0029964742211297268,20,68000.0,33280,1120,0.4768454837230628,5.942857142857143,4.768454837230628,6.9792e-06
12,64,8,2,0.002950162611850993,19,69464.0,34048,1216,0.47782642865162234,5.6,4.778264286516223,7.125599999999999e-06
12,72,8,2,0.002919506683736197,18,70416.0,34560,1296,0.4786173277199202,5.333333333333334,4.786173277199202,7.2208e-06
12,80,8,2,0.002938537339399416,17,70856.0,34816,1360,0.47924237418786475,5.12,4.792423741878648,7.2648e-06
12,88,8,2,0.0029913509817119993,16,70784.0,34816,1408,0.47971781305114636,4.945454545454545,4.797178130511464,7.257600000000001e-06
12,96,8,2,0.0029734612071632828,16,74880.0,36864,1536,0.48080133555926546,4.8,4.8,7.68e-06
12,12,8,8,0.0029646349168404866,31,96348.0,47616,372,0.4851844304055431,25.6,4.851844304055431,9.814e-06
12,14,8,8,0.002985249369600439,27,90828.0,44928,378,0.4850788166702656,23.771428571428572,4.850788166702656,9.262e-06
12,16,8,8,0.0029568263597356806,24,86880.0,43008,384,0.485023457235655,22.4,4.85023457235655,8.867199999999999e-06
12,18,8,8,0.0029327497139449202,22,85272.0,42240,396,0.48516034181751355,21.333333333333336,4.851603418175135,8.7064e-06
12,20,8,8,0.0029769653607055737,19,78508.0,38912,380,0.4845828144458281,20.48,4.845828144458281,8.030000000000001e-06
12,22,8,8,0.002972396936637353,17,74596.0,36992,374,0.48426454416924125,19.78181818181818,4.8426454416924125,7.6388e-06
12,24,8,8,0.0029734612071632828,16,74304.0,36864,384,0.48444070647603027,19.2,4.844407064760302,7.6096e-06
12,6,8,16,0.002998225780490746,33,102366.0,50688,396,0.4866452888880355,25.6,4.866452888880355,1.04158e-05
12,7,8,16,0.00299250061628776,29,97382.0,48256,348,0.4865791437271866,27.73333333333333,4.865791437271866,9.9174e-06
12,8,8,16,0.00294797712184212,26,93964.0,46592,312,0.48657003216508626,29.866666666666667,4.865700321650863,9.5756e-06
12,9,8,16,0.002961088596378438,23,89010.0,44160,276,0.4863329001563842,32.0,4.863329001563842,9.0802e-06
12,10,8,16,0.0029881737909281544,20,82520.0,40960,240,0.485814593414935,34.133333333333326,4.85814593414935,8.431199999999998e-06
12,11,8,16,0.002963656951711677,18,78876.0,39168,216,0.48554569345961224,36.26666666666667,4.8554569345961225,8.0668e-06
12,12,8,16,0.0029734612071632828,16,74208.0,36864,192,0.48505263157894735,38.4,4.850526315789473,7.600000000000001e-06
12,3,8,32,0.002997610018663896,34,105366.0,52224,408,0.487355120476306,25.6,4.873551204763061,1.07158e-05
12,4,8,32,0.002987030516959031,26,93886.0,46592,312,0.48696670080896337,29.866666666666667,4.869667008089634,9.567800000000002e-06
12,5,8,32,0.002981405551224543,21,86583.0,43008,252,0.48665346534653464,34.133333333333326,4.866534653465346,8.8375e-06
12,6,8,32,0.0029734612071632828,16,74160.0,36864,192,0.48535917421529384,38.4,4.853591742152938,7.5952000000000006e-06
12,2,8,64,0.0029838940912270528,26,93847.0,46592,312,0.4871652777632556,29.866666666666667,4.871652777632556,9.5639e-06
12,3,8,64,0.0029734612071632828,16,74136.0,36864,192,0.4855125908755663,38.4,4.855125908755663,7.5928e-06
12,1,8,192,0.0029734612071632828,16,74120.0,36864,192,0.4856149225418906,38.4,4.856149225418906,7.591199999999999e-06
14,48,8,2,0.0029938397634575,19,64600.0,31616,912,0.4762019520424147,6.933333333333333,4.762019520424147,6.639200000000001e-06
14,56,8,2,0.0029770400557728462,17,62152.0,30464,952,0.47641686475666206,6.4,4.7641686475666205,6.3944e-06
14,64,8,2,0.0029272431949582817,16,62592.0,30720,1024,0.47713717693836977,6.0,4.7713717693836974,6.438400000000001e-06
14,72,8,2,0.0029176209551755464,15,62520.0,30720,1080,0.47767135215822865,5.688888888888889,4.776713521582287,6.4311999999999995e-06
14,80,8,2,0.002959284955469466,14,61936.0,30464,1120,0.4780316344463972,5.44,4.780316344463972,6.3728e-06
14,88,8,2,0.002922389490401707,14,65520.0,32256,1232,0.47920133111480867,5.236363636363637,4.792013311148087,6.7312e-06
14,96,8,2,0.0029110943761432085,14,69104.0,34048,1344,0.4802527646129542,5.066666666666666,4.802527646129542,7.0896e-06
14,12,8,8,0.002976991602242956,26,87464.0,43264,364,0.4847181141884019,23.771428571428572,4.847181141884019,8.9256e-06
14,14,8,8,0.002947354446525692,23,83260.0,41216,322,0.48459765790340026,25.6,4.845976579034002,8.505200000000001e-06
14,16,8,8,0.0029698960674073194,20,77520.0,38400,320,0.4841638087552955,24.0,4.841638087552955,7.931200000000001e-06
14,18,8,8,0.0029652296478086928,18,74376.0,36864,324,0.483982774918601,22.755555555555556,4.83982774918601,7.6168000000000005e-06
14,20,8,8,0.0029590290931606916,16,70208.0,34816,320,0.48355555555555557,21.76,4.835555555555556,7.2e-06
14,22,8,8,0.0029097372688924364,15,69660.0,34560,330,0.4836813525163746,20.94545454545455,4.8368135251637465,7.1452e-06
14,24,8,8,0.0029110943761432085,14,68600.0,34048,336,0.48369132856006364,20.266666666666666,4.8369132856006365,7.0391999999999995e-06
14,6,8,16,0.002996090988992589,28,94024.0,46592,392,0.4862653419053185,23.771428571428572,4.862653419053185,9.5816e-06
14,7,8,16,0.0029479970218758223,25,90350.0,44800,350,0.48620607323478976,25.6,4.8620607323478975,9.2142e-06
14,8,8,16,0.0029365324240772078,22,85140.0,42240,308,0.4858970229604749,27.428571428571427,4.858970229604749,8.693199999999998e-06
14,9,8,16,0.002970784345929297,19,78394.0,38912,266,0.48527174319706684,29.257142857142856,4.852717431970668,8.0186e-06
14,10,8,16,0.002965839394357451,17,74494.0,36992,238,0.4849120415279344,31.085714285714282,4.8491204152793435,7.6286e-06
14,11,8,16,0.0029509983676553253,15,69570.0,34560,210,0.4842913595470979,32.91428571428572,4.8429135954709785,7.1362e-06
14,12,8,16,0.0029110943761432085,14,68516.0,34048,196,0.4842692154520111,34.74285714285715,4.842692154520111,7.030800000000001e-06
14,3,8,32,0.002968594254033013,29,97295.0,48256,406,0.4870063681411285,23.771428571428572,4.870063681411285,9.9087e-06
14,4,8,32,0.002970890229995026,22,85074.0,42240,308,0.4862662031174453,27.428571428571427,4.862662031174453,8.6866e-06
14,5,8,32,0.0029984985183380054,17,74443.0,36992,238,0.48523643995540106,31.085714285714282,4.852364399554011,7.6235e-06
14,6,8,32,0.0029110943761432085,14,68474.0,34048,196,0.48455867702729627,34.74285714285715,4.845586770272963,7.026600000000001e-06
14,2,8,64,0.00293677642609307,22,85041.0,42240,308,0.4864510036506858,27.428571428571427,4.864510036506858,8.683299999999999e-06
14,3,8,64,0.0029110943761432085,14,68453.0,34048,196,0.48470353761833584,34.74285714285715,4.847035376183358,7.0245e-06
14,1,8,192,0.0029110943761432085,14,68439.0,34048,196,0.48480015947373667,34.74285714285715,4.848001594737367,7.0231e-06
16,48,8,2,0.002980456497853114,17,62152.0,30464,816,0.47641686475666206,7.466666666666667,4.7641686475666205,6.3944e-06
16,56,8,2,0.002973857012516672,15,58680.0,28800,840,0.47625347268157164,6.857142857142857,4.7625347268157165,6.0471999999999995e-06
16,64,8,2,0.002942406271207801,14,58352.0,28672,896,0.4767225325884544,6.4,4.767225325884544,6.0143999999999995e-06
16,72,8,2,0.0029557970216080327,13,57512.0,28288,936,0.4769998651018481,6.044444444444444,4.769998651018481,5.9304e-06
16,80,8,2,0.002888656317013466,13,60840.0,29952,1040,0.47822199514625113,5.76,4.782219951462511,6.2632e-06
16,88,8,2,0.002979829641176394,12,59232.0,29184,1056,0.47823807026743576,5.527272727272727,4.782380702674358,6.102399999999999e-06
16,96,8,2,0.0029686449686936057,12,62304.0,30720,1152,0.47928107838242634,5.333333333333334,4.7928107838242635,6.4096000000000004e-06
16,12,8,8,0.0029449445949494,24,86880.0,43008,384,0.485023457235655,22.4,4.85023457235655,8.867199999999999e-06
16,14,8,8,0.0029354893352944254,21,81396.0,40320,336,0.4846852911477617,24.0,4.846852911477617,8.318799999999999e-06
16,16,8,8,0.0029529554383602307,18,74376.0,36864,288,0.483982774918601,25.6,4.83982774918601,7.6168000000000005e-06
16,18,8,8,0.00294929562429585,16,70208.0,34816,288,0.48355555555555557,24.177777777777777,4.835555555555556,7.2e-06
16,20,8,8,0.0029758559845728437,14,65016.0,32256,280,0.48281642917015927,23.04,4.828164291701593,6.6808000000000005e-06
16,22,8,8,0.002949499488701025,13,63700.0,31616,286,0.4827459842423502,22.10909090909091,4.827459842423502,6.549200000000001e-06
16,24,8,8,0.0029686449686936057,12,61872.0,30720,288,0.4825332998240764,21.333333333333336,4.825332998240764,6.3664e-06
16,6,8,16,0.0029852543677649874,25,90350.0,44800,400,0.48620607323478976,22.4,4.8620607323478975,9.2142e-06
16,7,8,16,0.002979499106182549,22,85140.0,42240,352,0.4858970229604749,24.0,4.858970229604749,8.693199999999998e-06
16,8,8,16,0.0029755717635234357,19,78394.0,38912,304,0.48527174319706684,25.6,4.852717431970668,8.0186e-06
16,9,8,16,0.0029652977844384725,17,74494.0,36992,272,0.4849120415279344,27.2,4.8491204152793435,7.6286e-06
16,10,8,16,0.002963926213849696,15,69570.0,34560,240,0.4842913595470979,28.8,4.8429135954709785,7.1362e-06
16,11,8,16,0.0029986752141438035,13,63622.0,31616,208,0.48332161311034333,30.4,4.833216131103433,6.541400000000001e-06
16,12,8,16,0.0029686449686936057,12,61800.0,30720,192,0.483079632658196,32.0,4.83079632658196,6.3592e-06
16,3,8,32,0.0029930127063312515,25,90275.0,44800,400,0.4866021484353786,22.4,4.8660214843537855,9.206700000000001e-06
16,4,8,32,0.002942425800718827,20,82460.0,40960,320,0.48616056592128376,25.6,4.861605659212838,8.425199999999999e-06
16,5,8,32,0.0029397443434076376,16,74160.0,36864,256,0.48535917421529384,28.8,4.853591742152938,7.5952000000000006e-06
16,6,8,32,0.0029686449686936057,12,61764.0,30720,192,0.4833532632638933,32.0,4.833532632638933,6.3556e-06
16,2,8,64,0.0029310792029883068,20,82430.0,40960,320,0.4863337370283299,25.6,4.863337370283299,8.4222e-06
16,3,8,64,0.0029686449686936057,12,61746.0,30720,192,0.48349019484403033,32.0,4.8349019484403035,6.3538e-06
16,1,8,192,0.0029686449686936057,12,61734.0,30720,192,0.48358152567452695,32.0,4.83581525674527,6.3526e-06
4,48,16,2,0.002996947481968025,36,94608.0,46080,1728,0.47800829875518674,5.333333333333334,4.780082987551867,9.64e-06
4,56,16,2,0.0029752098996541033,33,95172.0,46464,1848,0.47918815230394785,5.0285714285714285,4.7918815230394785,9.6964e-06
4,64,16,2,0.0029776446864946907,30,94200.0,46080,1920,0.48004000333361113,4.8,4.8,9.6e-06
4,72,16,2,0.002969296006808906,28,95088.0,46592,2016,0.48092485549132946,4.622222222222222,4.622222222222222,1.0080000000000002e-05
4,80,16,2,0.0029980697856549594,26,94952.0,46592,2080,0.4816009261556272,4.48,4.48,1.0399999999999999e-05
4,88,16,2,0.002998962836320888,25,97700.0,48000,2200,0.4824508503196237,4.363636363636363,4.363636363636363,1.1e-05
4,96,16,2,0.0029880508717916644,25,104100.0,51200,2400,0.48351150228534734,4.266666666666666,4.266666666666666,1.2000000000000002e-05
4,12,16,8,0.00314617565195943,46,119232.0,58880,552,0.4865150713907985,21.333333333333336,4.865150713907985,1.21024e-05
4,14,16,8,0.0029646244191742174,45,128160.0,63360,630,0.4875646392514159,20.114285714285714,4.8756463925141595,1.2995199999999999e-05
4,16,16,8,0.0029815479675152708,39,121056.0,59904,624,0.48762698619432143,19.2,4.876269861943214,1.22848e-05
4,18,16,8,0.002998960674882939,33,110880.0,54912,594,0.48736154501562057,18.488888888888887,4.873615450156206,1.1267200000000001e-05
4,20,16,8,0.002971966406934111,30,108480.0,53760,600,0.4875217643644806,17.92,4.875217643644806,1.1027199999999998e-05
4,22,16,8,0.0029683056932500364,27,104544.0,51840,594,0.4875112849834487,17.454545454545453,4.875112849834487,1.0633600000000001e-05
4,24,16,8,0.0029880508717916644,25,103200.0,51200,600,0.487656202377324,17.066666666666663,4.87656202377324,1.04992e-05
4,6,16,16,0.0032582991417081345,46,118956.0,58880,276,0.4876271242587869,42.66666666666667,4.876271242587869,1.20748e-05
4,7,16,16,0.0030434995235861634,46,130732.0,64768,322,0.4887265702816094,40.22857142857143,4.8872657028160935,1.32524e-05
4,8,16,16,0.002988695336748907,40,123920.0,61440,320,0.48873615883925164,38.4,4.887361588392516,1.25712e-05
4,9,16,16,0.002960094778971112,37,124098.0,61568,333,0.48906187941854,36.977777777777774,4.8906187941854,1.2589e-05
4,10,16,16,0.002995970609397171,31,111910.0,55552,310,0.4885753988496245,35.84,4.885753988496245,1.1370199999999998e-05
4,11,16,16,0.0029432247346042957,29,112114.0,55680,319,0.4888241181324952,34.90909090909091,4.888241181324952,1.13906e-05
4,12,16,16,0.0029880508717916644,25,103050.0,51200,300,0.4883539039697831,34.133333333333326,4.8835390396978315,1.0484199999999999e-05
4,3,16,32,0.003315172723299541,46,118818.0,58880,184,0.48818505928198325,64.0,4.881850592819832,1.2061e-05
4,4,16,32,0.002984327809765339,44,136180.0,67584,176,0.4898385179601658,76.8,4.898385179601658,1.37972e-05
4,5,16,32,0.002992195293532369,32,115424.0,57344,160,0.4892164892164892,71.68,4.892164892164892,1.17216e-05
4,6,16,32,0.0029880508717916644,25,102975.0,51200,150,0.4887035039659435,68.26666666666665,4.887035039659435,1.0476699999999999e-05
4,2,16,64,0.0029975178469527058,42,129927.0,64512,168,0.48976988893022266,76.8,4.897698889302227,1.31719e-05
4,3,16,64,0.0029880508717916644,25,102937.5,51200,100,0.48887849173346576,102.4,4.888784917334657,1.0472950000000001e-05
4,1,16,192,0.0029880508717916644,25,102912.5,51200,100,0.48899521988071193,102.4,4.889952198807119,1.0470449999999999e-05
5,48,16,2,0.0029998286316486327,29,83636.0,40832,1392,0.4779697523060355,5.866666666666666,4.779697523060355,8.5428e-06
