NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s),DSP Usage,Simulated Ncycles,Simulated Execution Time (s),BRAM Usage
8,22,8,8,85.45,0.0056314853044819,6,46464.0,23040,132,0.4699738903394256,26.18181818181818,4.699738903394256,4.9024e-06,640,151,1.0066666666666666e-06,128
8,24,8,8,85.3,0.0055504372250172,6,49536.0,24576,144,0.47174447174447176,25.6,4.717444717444717,5.2096e-06,640,163,1.0866666666666667e-06,128
8,6,8,16,85.15,0.0059380284746844,9,46548.0,23040,72,0.4691699926692189,48.0,4.691699926692189,4.9108000000000005e-06,960,93,6.2e-07,192
8,7,8,16,85.48,0.0056892589230268,9,51156.0,25344,72,0.47181472931714946,52.8,4.718147293171494,5.3716e-06,960,94,6.266666666666667e-07,192
8,8,8,16,85.55,0.0058877292963631,7,43372.0,21504,56,0.46817033876164765,57.6,4.681703387616476,4.5931999999999995e-06,960,77,5.133333333333333e-07,192
8,9,8,16,85.6,0.0059664594950522,6,40248.0,19968,54,0.46645486824892546,55.46666666666666,4.664548682489254,4.280800000000001e-06,960,74,4.933333333333333e-07,192
8,10,8,16,85.28999999999999,0.0058004590797356,6,43320.0,21504,60,0.46870095902353964,53.76,4.687009590235396,4.588e-06,960,80,5.333333333333333e-07,192
8,11,8,16,85.33,0.0056543062272607,6,46392.0,23040,66,0.47066514136296783,52.36363636363636,4.706651413629678,4.8952e-06,960,86,5.733333333333334e-07,192
8,12,8,16,85.3,0.0055504372250172,6,49464.0,24576,72,0.4723973550668922,51.2,4.723973550668922,5.2023999999999995e-06,960,92,6.133333333333333e-07,192
8,3,8,32,85.57000000000001,0.0058392363371976,10,51660.0,25600,80,0.4721504979712283,48.0,4.721504979712283,5.422e-06,1600,100,6.666666666666667e-07,320
8,4,8,32,85.59,0.0059476433936248,7,43330.0,21504,56,0.46859882327304425,57.6,4.685988232730443,4.588999999999999e-06,1600,74,4.933333333333333e-07,320
8,5,8,32,85.39,0.0058295833171082,6,43284.0,21504,48,0.46906901666521245,67.2,4.690690166652124,4.5844000000000005e-06,1600,66,4.4e-07,320
8,6,8,32,85.3,0.0055504372250172,6,49428.0,24576,48,0.4727244748788182,76.8,4.727244748788182,5.198799999999999e-06,1600,67,4.4666666666666664e-07,320
8,2,8,64,85.32,0.0059641019469333,7,43309.0,21504,56,0.468813359785476,57.6,4.68813359785476,4.586900000000001e-06,2880,73,4.866666666666666e-07,576
8,3,8,64,85.3,0.0055504372250172,6,49410.0,24576,48,0.4728882047335001,76.8,4.728882047335,5.197000000000001e-06,2880,65,4.3333333333333335e-07,576
8,1,8,192,85.3,0.0055504372250172,6,49398.0,24576,48,0.47299742099387965,76.8,4.7299742099387965,5.1958e-06,8000,65,4.3333333333333335e-07,1600
2,48,16,2,85.15,0.0055171146642663,16,67648.0,32768,768,0.4667274384685506,6.4,4.667274384685506,7.0208e-06,720,789,5.26e-06,144
2,56,16,2,85.2,0.005324392865474,16,75840.0,36864,896,0.47020408163265304,6.171428571428572,4.70204081632653,7.840000000000001e-06,720,917,6.113333333333333e-06,144
2,64,16,2,85.17,0.0049114439669849,18,94536.0,46080,1152,0.47458185713108675,6.0,4.745818571310868,9.709600000000001e-06,720,1175,7.833333333333333e-06,144
2,72,16,2,85.27,0.0053113103493899,14,80696.0,39424,1008,0.47352743345824927,5.866666666666667,4.735274334582493,8.3256e-06,720,1027,6.846666666666667e-06,144
2,80,16,2,85.28999999999999,0.0053862516423701,13,81588.0,39936,1040,0.47459238484574795,5.76,4.74592384845748,8.4148e-06,720,1058,7.053333333333333e-06,144
2,88,16,2,85.18,0.0047639833618329,17,115396.0,56576,1496,0.479636474617654,5.672727272727273,4.79636474617654,1.1795600000000003e-05,720,1518,1.012e-05,144
2,96,16,2,85.15,0.0054733115168958,12,87600.0,43008,1152,0.47701863354037266,5.6,4.770186335403727,9.016e-06,720,1169,7.793333333333334e-06,144
2,12,16,8,85.19,0.0058655892755307,18,74808.0,36864,216,0.47647606245476165,25.6,4.764760624547616,7.736800000000002e-06,960,241,1.6066666666666666e-06,192
2,14,16,8,85.52,0.0058927012536073,15,70020.0,34560,210,0.4761642325709562,24.685714285714287,4.761642325709562,7.258e-06,960,232,1.5466666666666668e-06,192
2,16,16,8,85.14,0.0059088383377165,13,67340.0,33280,208,0.4761087267525036,24.0,4.761087267525036,6.99e-06,960,228,1.52e-06,192
2,18,16,8,85.28999999999999,0.0054443060600565,15,85380.0,42240,270,0.4803274960200136,23.46666666666667,4.803274960200136,8.794e-06,960,292,1.9466666666666665e-06,192
2,20,16,8,85.19,0.0058744138722768,11,68244.0,33792,220,0.47726117168521554,23.04,4.772611716852156,7.0804e-06,960,238,1.5866666666666666e-06,192
2,22,16,8,85.3,0.0055576782799602,12,80592.0,39936,264,0.480277082932461,22.69090909090909,4.8027708293246105,8.3152e-06,960,283,1.8866666666666667e-06,192
2,24,16,8,85.15,0.0054733115168958,12,86736.0,43008,288,0.4816341157498656,22.4,4.816341157498655,8.929600000000002e-06,960,307,2.046666666666667e-06,192
2,6,16,16,85.2,0.005971435213634,18,74592.0,36864,108,0.47781003732890914,51.2,4.778100373289091,7.7152e-06,1280,134,8.933333333333333e-07,256
2,7,16,16,85.55,0.0059094986327805,16,74496.0,36864,112,0.47840531561461797,49.371428571428574,4.78405315614618,7.7056e-06,1280,136,9.066666666666666e-07,256
2,8,16,16,85.32,0.0059783499669318,13,67184.0,33280,104,0.4771736636843313,48.0,4.771736636843313,6.9744e-06,1280,125,8.333333333333333e-07,256
2,9,16,16,85.18,0.0053039442862603,17,96560.0,47872,153,0.4829701372074253,46.93333333333334,4.829701372074253,9.912e-06,1280,178,1.1866666666666666e-06,256
2,10,16,16,85.22999999999999,0.0054762310626732,14,86688.0,43008,140,0.48189315166726426,46.08,4.8189315166726425,8.9248e-06,1280,162,1.08e-06,256
2,11,16,16,85.18,0.0051515810630643,15,100560.0,49920,165,0.4840961986035687,45.38181818181818,4.840961986035687,1.0312e-05,1280,188,1.2533333333333333e-06,256
2,12,16,16,85.15,0.0054733115168958,12,86592.0,43008,144,0.4824120603015075,44.8,4.824120603015075,8.9152e-06,1280,164,1.0933333333333334e-06,256
2,3,16,32,85.14,0.0059316475078408,20,82760.0,40960,60,0.48007501172058137,102.4,4.800750117205814,8.532e-06,1920,89,5.933333333333333e-07,384
2,4,16,32,85.47,0.0059203257252798,14,72268.0,35840,56,0.47896509328059017,96.0,4.789650932805902,7.482799999999999e-06,1920,79,5.266666666666667e-07,384
2,5,16,32,85.2,0.00581071902601,12,74232.0,36864,60,0.4800500052088759,92.16,4.8005000520887595,7.6792e-06,1920,81,5.4e-07,384
2,6,16,32,85.15,0.0054733115168958,12,86520.0,43008,72,0.4828019757521329,89.6,4.828019757521329,8.908000000000002e-06,1920,93,6.2e-07,384
2,2,16,64,85.21,0.0059330842085946,14,72226.0,35840,28,0.4792340812451528,192.0,4.7923408124515285,7.4786e-06,3200,52,3.4666666666666665e-07,640
2,3,16,64,85.15,0.0054733115168958,12,86484.0,43008,36,0.48299716993845737,179.2,4.829971699384574,8.904399999999999e-06,3200,58,3.866666666666667e-07,640
2,1,16,192,85.15,0.0054733115168958,12,86460.0,43008,24,0.4831273871040216,268.8,4.831273871040215,8.902e-06,8320,47,3.1333333333333333e-07,1664
3,48,16,2,85.22999999999999,0.0055828518202362,11,52140.0,25344,528,0.463327239488117,7.2,4.63327239488117,5.47e-06,720,545,3.6333333333333334e-06,144
3,56,16,2,85.28999999999999,0.0055528565567875,10,52520.0,25600,560,0.4647785039941903,6.857142857142857,4.647785039941903,5.508e-06,720,576,3.84e-06,144
3,64,16,2,85.41,0.0056127637703492,9,51876.0,25344,576,0.4655742523330149,6.6,4.655742523330149,5.443600000000001e-06,720,591,3.94e-06,144
