NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (Ops/s),AttPerf (Ops/s),Execution Time (s)
6,24,8,8,84.97,0.005315625677391616,14,43316.0,24604,336.0,0.536315284680443,29290476190.476192,2681576423.402215,9.175199999999998e-06
6,6,8,16,85.32,0.00597404084714036,17,39491.0,22690,102.0,0.5395828874461963,88980392156.86275,2697914437.2309813,8.4102e-06
6,7,8,16,84.81,0.005978631859936417,15,36765.0,21342,105.0,0.542708200890019,81302857142.85715,2713541004.450095,7.865e-06
6,8,8,16,85.2,0.0059033086435179224,14,36106.0,21020,112.0,0.543630062587286,75071428571.42857,2718150312.93643,7.733199999999999e-06
6,9,8,16,84.82,0.005550558507583325,16,43312.0,24608,144.0,0.5364492500871991,68355555555.55556,2682246250.4359956,9.174400000000001e-06
6,10,8,16,85.08,0.00580880899061293,12,34020.0,19992,120.0,0.5465281574630946,66640000000.0,2732640787.315473,7.316e-06
6,11,8,16,84.88,0.0054406200126090876,14,41482.0,23708,154.0,0.5383043458516871,61579220779.22078,2691521729.2584352,8.8084e-06
6,12,8,16,84.97,0.005315625677391616,14,43274.0,24604,168.0,0.5368067373565475,58580952380.952385,2684033686.7827373,9.166800000000002e-06
6,3,8,32,84.91,0.005960197489096276,18,41787.0,23844,108.0,0.5376688389293526,88311111111.11111,2688344194.646763,8.8694e-06
6,4,8,32,84.81,0.005924756703285659,14,36085.0,21020,84.0,0.5439254754819511,100095238095.2381,2719627377.4097557,7.729e-06
6,5,8,32,85.05,0.005852385477936939,12,34002.0,19992,72.0,0.54679722115858,111066666666.66667,2733986105.7929,7.312399999999999e-06
6,6,8,32,84.97,0.005315625677391616,14,43253.0,24604,84.0,0.5370528016065309,117161904761.90477,2685264008.032655,9.1626e-06
6,2,8,64,85.11,0.005901806425868685,14,36074.5,21020,84.0,0.5440733023592903,100095238095.2381,2720366511.7964516,7.726899999999999e-06
6,3,8,64,84.97,0.005315625677391616,14,43242.5,24604,84.0,0.5371759183450685,117161904761.90477,2685879591.7253428,9.1605e-06
6,1,8,192,84.97,0.005315625677391616,14,43235.5,24604,84.0,0.5372580275354566,117161904761.90477,2686290137.677283,9.1591e-06
8,48,8,2,84.89999999999999,0.005765046273777948,11,31416.0,18582,528.0,0.5469154697433483,14077272727.272728,2734577348.716741,6.795200000000001e-06
8,56,8,2,85.07000000000001,0.005596704616539476,11,32824.0,19286,616.0,0.5450486095410355,12523376623.376623,2725243047.705178,7.076799999999999e-06
8,64,8,2,85.00999999999999,0.005473547521266156,11,34232.0,19990,704.0,0.5433246357903893,11357954545.454546,2716623178.9519463,7.3584e-06
8,72,8,2,85.13,0.005384037452694623,11,35640.0,20694,792.0,0.5417277486910995,10451515151.515152,2708638743.4554977,7.64e-06
8,80,8,2,85.05,0.005319334578644288,11,37048.0,21398,880.0,0.5402443950717026,9726363636.363636,2701221975.3585134,7.9216e-06
