NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s)
32,9,2,16,85.17,0.0059310921938434905,22,37554.0,76464,704,1.9061674228448922,43.445454545454545,19.061674228448922,4.011399999999999e-06
32,10,2,16,85.38,0.005917857612854221,20,36700.0,74912,640,1.9080998471726949,46.82,19.08099847172695,3.925999999999999e-06
32,11,2,16,85.52,0.005774768265455416,20,39260.0,80032,640,1.9137254901960785,50.02,19.137254901960784,4.182e-06
32,12,2,16,85.55,0.005673088727819008,20,41820.0,85152,640,1.9187021180712032,53.220000000000006,19.18702118071203,4.4380000000000005e-06
32,3,2,32,85.24000000000001,0.005995505002002287,31,40966.5,82680,992,1.8995324687259485,33.33870967741936,18.995324687259483,4.352650000000001e-06
32,4,2,32,85.42,0.005991086687013378,24,37860.0,76992,768,1.9047996041563582,40.1,19.047996041563582,4.042e-06
32,5,2,32,85.44,0.005741249686598868,23,42170.5,85688,736,1.9156503951442527,46.56956521739131,19.156503951442527,4.47305e-06
32,6,2,32,85.55,0.005673088727819008,20,41790.0,85152,640,1.92,53.220000000000006,19.2,4.435e-06
32,2,2,64,85.36,0.005969043190322697,25,39418.75,80072,800,1.9074412649257064,40.036,19.074412649257063,4.197875e-06
32,3,2,64,85.55,0.005673088727819008,20,41775.0,85152,640,1.9206495996391113,53.220000000000006,19.206495996391112,4.4335e-06
32,1,2,192,85.55,0.005673088727819008,20,41765.0,85152,640,1.921082910321489,53.220000000000006,19.21082910321489,4.4325e-06
8,48,4,2,85.06,0.005790793981066274,41,44444.0,87368,1968,1.8587354267721896,17.757723577235772,17.757723577235772,4.92e-06
8,56,4,2,85.37,0.005957685119328285,33,39996.0,79368,1848,1.8650249083560484,17.179220779220778,17.179220779220778,4.62e-06
8,64,4,2,85.6,0.005984023552116958,30,40200.0,80112,1920,1.8735266604303087,16.69,16.69,4.8e-06
8,72,4,2,85.34,0.0055865198713480665,36,52848.0,104736,2592,1.890268553277505,16.16296296296296,16.16296296296296,6.480000000000001e-06
8,80,4,2,85.22,0.005991044441331771,27,43092.0,86232,2160,1.888898624375712,15.968888888888891,15.968888888888891,5.399999999999999e-06
8,88,4,2,85.11,0.005292640471379536,41,70684.0,139848,3608,1.9093441100977555,15.504212860310421,15.504212860310421,9.02e-06
8,96,4,2,85.25,0.005843575847543413,29,53708.0,107240,2784,1.905879007606455,15.408045977011493,15.408045977011493,6.96e-06
8,12,4,8,85.25,0.0061823726910186175,41,43706.0,87368,492,1.888384558855315,71.03089430894309,18.88384558855315,4.626599999999999e-06
8,14,4,8,85.25,0.005980808742557778,41,48954.0,97864,574,1.8997554062973172,68.1979094076655,18.997554062973173,5.1513999999999995e-06
8,16,4,8,84.72,0.005776874846385265,41,54202.0,108360,656,1.909023642577781,66.07317073170732,19.09023642577781,5.6762e-06
8,18,4,8,85.38,0.005986761925137578,33,47850.0,96264,594,1.9096211069232296,64.82424242424243,19.096211069232297,5.041e-06
8,20,4,8,84.78999999999999,0.005466197857360687,41,64698.0,129352,820,1.9232210294686134,63.098536585365856,19.232210294686134,6.7258e-06
8,22,4,8,85.3,0.005737538718456149,32,54592.0,109824,704,1.921612541993281,62.4,19.21612541993281,5.715200000000001e-06
8,24,4,8,85.25,0.005843575847543413,29,53186.0,107240,696,1.9237254690919527,61.632183908045974,19.237254690919528,5.5746e-06
8,6,4,16,85.25,0.006276271604628044,41,43583.0,87368,328,1.8934182866306914,106.54634146341463,18.934182866306916,4.6143e-06
8,7,4,16,85.25,0.006061923825071784,41,48831.0,97864,328,1.904302309742951,119.34634146341463,19.04302309742951,5.1391e-06
8,8,4,16,85.28999999999999,0.005898578211961863,40,52760.0,105792,320,1.91236442516269,132.24,19.1236442516269,5.532e-06
8,9,4,16,84.94,0.005716749225492022,41,59327.0,118856,369,1.9205325835797502,128.8411924119241,19.205325835797503,6.1887e-06
8,10,4,16,85.16,0.005915790872769781,32,50400.0,101632,320,1.9190332326283988,127.04000000000002,19.190332326283986,5.296000000000001e-06
8,11,4,16,85.18,0.0058664021637894505,30,51090.0,103152,330,1.9226840633737186,125.03272727272727,19.226840633737186,5.365e-06
8,12,4,16,85.25,0.005843575847543413,29,53099.0,107240,348,1.926732424226091,123.26436781609195,19.267324242260912,5.5658999999999995e-06
8,3,4,32,85.25,0.0063301575913570305,41,43521.5,87368,328,1.8959452274774042,106.54634146341463,18.959452274774044,4.608149999999999e-06
8,4,4,32,84.82,0.005943381946225266,41,54017.5,108360,328,1.915248994741726,132.14634146341464,19.15248994741726,5.65775e-06
8,5,4,32,84.71,0.005543645769938155,41,64513.5,129352,328,1.9285112600356324,157.74634146341464,19.285112600356324,6.70735e-06
8,6,4,32,85.25,0.005843575847543413,29,53055.5,107240,232,1.9282394296554017,184.89655172413794,19.282394296554017,5.56155e-06
8,2,4,64,84.47,0.00590389614544355,41,53986.75,108360,328,1.916290502990888,132.14634146341464,19.16290502990888,5.654675e-06
8,3,4,64,85.25,0.005843575847543413,29,53033.75,107240,232,1.9289938167509837,184.89655172413794,19.28993816750984,5.559375e-06
8,1,4,192,85.25,0.005843575847543413,29,53019.25,107240,232,1.9294970694998583,184.89655172413794,19.294970694998582,5.557925e-06
12,48,4,2,85.15,0.005370123407665147,40,48480.0,95552,1920,1.872100313479624,19.906666666666666,18.721003134796238,5.104e-06
12,56,4,2,85.46000000000001,0.005961092525123659,24,32160.0,64704,1344,1.863594470046083,19.25714285714286,18.63594470046083,3.472e-06
12,64,4,2,85.61999999999999,0.005971948490674376,22,32296.0,65200,1408,1.870553132889603,18.522727272727273,18.522727272727273,3.52e-06
12,72,4,2,85.63,0.0059579353831460125,21,33516.0,67752,1512,1.8780352588978821,17.923809523809524,17.923809523809524,3.78e-06
12,80,4,2,85.18,0.005974880036553505,20,34480.0,69792,1600,1.8842332613390929,17.448,17.448,4e-06
12,88,4,2,85.21,0.005871145461570361,21,38892.0,78504,1848,1.8938531313326257,16.992207792207793,16.992207792207793,4.62e-06
12,96,4,2,85.3,0.005367815097607297,29,57420.0,114664,2784,1.9117039013004336,16.47471264367816,16.47471264367816,6.96e-06
12,12,4,8,85.33,0.0059824016034812875,35,41790.0,83992,420,1.8938444193912063,79.99238095238094,18.938444193912062,4.435e-06
12,14,4,8,84.89999999999999,0.0055218492190356305,41,54202.0,108360,574,1.909023642577781,75.51219512195122,19.09023642577781,5.6762e-06
12,16,4,8,85.41,0.005537208981513523,36,52200.0,104736,576,1.91263696128561,72.73333333333335,19.1263696128561,5.476e-06
12,18,4,8,85.3,0.005916309018827134,25,39450.0,80072,450,1.9060223756248513,71.17511111111111,19.06022375624851,4.201e-06
