NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s),DSP Usage,BRAM Usage,Simulated Ncycles,Simulated Execution Time (s)
32,20,2,8,85.15,0.0052995957742863,29,53302.0,104168,928,1.864738104614944,16.8375,16.8375,6.186666666666667e-06,192,32,982,6.546666666666667e-06
32,22,2,8,85.19,0.0051648096885759,29,57014.0,111592,928,1.8731661463054352,18.0375,18.0375,6.186666666666666e-06,192,32,984,6.56e-06
32,24,2,8,85.55,0.005673088727819,20,41880.0,82080,640,1.846984698469847,19.2375,18.46984698469847,4.444e-06,192,32,689,4.593333333333333e-06
32,7,2,16,85.15,0.0058791429865372,30,43530.0,84720,960,1.838142764157084,13.2375,13.2375,6.4e-06,272,48,1003,6.6866666666666665e-06
32,8,2,16,85.54,0.0058051739080438,27,42633.0,83160,864,1.8401079813245413,14.4375,14.4375,5.76e-06,272,48,905,6.033333333333334e-06
32,9,2,16,85.17,0.0059310921938434,22,37554.0,73392,704,1.8295856808096924,15.6375,15.6375,4.693333333333334e-06,272,48,741,4.94e-06
32,10,2,16,85.38,0.0059178576128542,20,36700.0,71840,640,1.8298522669383597,16.8375,16.8375,4.266666666666667e-06,272,48,676,4.506666666666667e-06
32,11,2,16,85.52,0.0057747682654554,20,39260.0,76960,640,1.8402678144428504,18.0375,18.0375,4.266666666666666e-06,272,48,677,4.513333333333333e-06
32,12,2,16,85.55,0.005673088727819,20,41820.0,82080,640,1.8494817485353763,19.2375,18.494817485353764,4.438e-06,272,48,678,4.52e-06
32,3,2,32,85.24000000000001,0.0059955050020022,31,40966.5,79608,992,1.8289547746774952,12.0375,12.0375,6.613333333333334e-06,432,80,1033,6.886666666666667e-06
32,4,2,32,85.42,0.0059910866870133,24,37860.0,73920,768,1.8287976249381495,14.4375,14.4375,5.12e-06,432,80,803,5.3533333333333335e-06
32,5,2,32,85.44,0.0057412496865988,23,42170.5,82616,736,1.846972423737718,16.8375,16.8375,4.9066666666666666e-06,432,80,771,5.14e-06
32,6,2,32,85.55,0.005673088727819,20,41790.0,82080,640,1.8507328072153326,19.2375,18.507328072153328,4.434999999999999e-06,432,80,673,4.486666666666666e-06
32,2,2,64,85.36,0.0059690431903226,25,39418.75,77000,800,1.8342613822469702,14.4375,14.4375,5.333333333333333e-06,752,144,835,5.566666666666667e-06
32,3,2,64,85.55,0.005673088727819,20,41775.0,82080,640,1.851358971467238,19.2375,18.51358971467238,4.4335e-06,752,144,671,4.473333333333333e-06
8,56,4,2,85.37,0.0059576851193282,33,39996.0,76296,1848,1.7928376727136008,6.192857142857143,6.192857142857143,1.232e-05,212,36,1892,1.2613333333333333e-05
8,64,4,2,85.6,0.0059840235521169,30,40200.0,77040,1920,1.8016838166510758,6.01875,6.01875,1.28e-05,212,36,1961,1.3073333333333334e-05
8,72,4,2,85.34,0.005586519871348,36,52848.0,101664,2592,1.834825295986139,5.883333333333333,5.883333333333333,1.728e-05,212,36,2639,1.7593333333333333e-05
8,80,4,2,85.22,0.0059910444413317,27,43092.0,83160,2160,1.8216069394550074,5.775,5.775,1.44e-05,212,36,2198,1.4653333333333333e-05
8,96,4,2,85.25,0.0058435758475434,29,53708.0,104168,2784,1.8512831449491718,5.6125,5.6125,1.856e-05,212,36,2824,1.8826666666666667e-05
8,14,4,8,85.25,0.0059808087425577,41,48954.0,94792,574,1.8401211321194237,24.771428571428572,18.40121132119424,5.1513999999999995e-06,272,48,628,4.186666666666667e-06
8,18,4,8,85.38,0.0059867619251375,33,47850.0,93192,594,1.848680817298155,23.53333333333333,18.48680817298155,5.041e-06,272,48,640,4.266666666666667e-06
8,22,4,8,85.3,0.0057375387184561,32,54592.0,106752,704,1.8678611422172453,22.745454545454542,18.67861142217245,5.7152e-06,272,48,749,4.9933333333333335e-06
8,24,4,8,85.25,0.0058435758475434,29,53186.0,104168,696,1.8686183762063646,22.45,18.686183762063646,5.5746e-06,272,48,738,4.92e-06
8,8,4,16,85.28999999999999,0.0058985782119618,40,52760.0,102720,320,1.856832971800434,48.15,18.56832971800434,5.532e-06,352,64,374,2.4933333333333333e-06
8,10,4,16,85.16,0.0059157908727697,32,50400.0,98560,320,1.8610271903323263,46.2,18.610271903323262,5.296e-06,352,64,366,2.44e-06
8,11,4,16,85.18,0.0058664021637894,30,51090.0,100080,330,1.8654240447343895,45.490909090909085,18.654240447343895,5.365e-06,352,64,374,2.4933333333333333e-06
8,12,4,16,85.25,0.0058435758475434,29,53099.0,104168,348,1.8715391940207333,44.9,18.715391940207333,5.5659e-06,352,64,391,2.6066666666666666e-06
