NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s),DSP Usage
32,11,2,16,85.36,0.0056667870777893,9,43735.5,37704,288.0,0.8144204080310181,52.36666666666667,8.144204080310182,4.62955e-06,920
32,12,2,16,85.28999999999999,0.0053707562726409,9,52792.5,40008,288.0,0.7227857820333319,55.56666666666666,7.227857820333319,5.53525e-06,920
32,3,2,32,85.39999999999999,0.0059552983157914,13,43614.25,36456,416.0,0.7895309615207611,35.05384615384616,7.89530961520761,4.617425e-06,1688
32,4,2,32,85.61,0.0059418437380142,10,40503.0,33872,320.0,0.7865685158953162,42.34,7.865685158953162,4.306300000000001e-06,1688
32,5,2,32,85.58,0.005741594985388,9,43524.0,35400,288.0,0.7681624858953215,49.16666666666667,7.681624858953216,4.608400000000001e-06,1688
32,6,2,32,85.28999999999999,0.0053707562726409,9,52754.25,40008,288.0,0.7232855909643536,55.56666666666666,7.232855909643536,5.531425e-06,1688
32,2,2,64,85.2,0.005907031810031,10,41255.875,33872,320.0,0.773053145692058,42.34,7.73053145692058,4.3815875e-06,3224
32,3,2,64,85.28999999999999,0.0053707562726409,9,52735.125,40008,288.0,0.7235357547342555,55.56666666666666,7.235357547342555,5.5295125e-06,3224
32,1,2,192,85.28999999999999,0.0053707562726409,9,52722.375,40008,288.0,0.7237026267413439,55.56666666666666,7.237026267413439,5.528237499999999e-06,9368
8,48,4,2,85.39,0.0058268529191348,15,44138.0,33912,720.0,0.7261981241166645,18.84,7.261981241166645,4.669800000000001e-06,360
8,56,4,2,85.24000000000001,0.0054081395135335,18,57216.0,44688,1008.0,0.7475910064239829,17.733333333333334,7.475910064239829,5.977599999999999e-06,360
8,64,4,2,85.19,0.005222537103713,17,65944.0,46728,1088.0,0.6821207520728717,17.179411764705883,6.821207520728717,6.8504e-06,360
8,72,4,2,85.21,0.0052633533155117,17,65882.0,51080,1224.0,0.7463253557756933,16.692810457516337,7.463253557756932,6.8442000000000005e-06,360
8,80,4,2,85.19,0.0055215083148787,14,60662.0,46192,1120.0,0.7306317421150865,16.497142857142855,7.306317421150865,6.3222e-06,360
