NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (Ops/s),AttPerf (Ops/s),Execution Time (s)
16,6,2,16,84.94,0.0059507601605098374,13,54236.0,29800,224.0,0.5246848369603493,53214285714.28571,2623424184.8017464,1.1359200000000001e-05
16,7,2,16,84.91,0.005991569990763905,11,51524.0,28504,224.0,0.5270320242585608,50900000000.0,2635160121.292804,1.08168e-05
16,8,2,16,85.05,0.00578319076070515,11,57156.0,31320,224.0,0.5244825507401701,55928571428.571434,2622412753.7008505,1.1943200000000001e-05
16,9,2,16,85.24000000000001,0.005926434162000738,9,51372.0,28488,224.0,0.5282207223911592,50871428571.42857,2641103611.9557962,1.07864e-05
16,10,2,16,85.33,0.005972576920716073,8,49760.0,27712,224.0,0.5296636085626911,49485714285.71429,2648318042.8134556,1.0464e-05
16,11,2,16,85.11999999999999,0.005828026893858213,8,53856.0,29760,224.0,0.5275099262620533,53142857142.85715,2637549631.3102665,1.12832e-05
16,12,2,16,85.14,0.005958829691910591,7,50708.0,28216,224.0,0.5296988811293835,50385714285.71429,2648494405.6469173,1.06536e-05
16,3,2,32,85.09,0.005994872068170918,13,54158.0,29800,224.0,0.5254063965584118,53214285714.28571,2627031982.792059,1.13436e-05
16,4,2,32,85.1,0.005997580350318391,10,51900.0,28752,224.0,0.5279471171502019,51342857142.85715,2639735585.7510095,1.0892000000000002e-05
16,5,2,32,85.42999999999999,0.00580578055438192,9,55926.0,30792,224.0,0.5264849707622337,54985714285.71429,2632424853.811168,1.1697200000000002e-05
16,6,2,32,85.14,0.005958829691910591,7,50666.0,28216,224.0,0.5301168601811145,50385714285.71429,2650584300.9055724,1.0645200000000001e-05
16,2,2,64,85.2,0.005996229221746049,10,51870.0,28752,224.0,0.528238103986772,51342857142.85715,2641190519.93386,1.0886e-05
16,3,2,64,85.14,0.005958829691910591,7,50645.0,28216,224.0,0.5303260971713185,50385714285.71429,2651630485.8565927,1.0640999999999999e-05
16,1,2,192,85.14,0.005958829691910591,7,50631.0,28216,224.0,0.5304656802842587,50385714285.71429,2652328401.4212933,1.06382e-05
24,48,2,2,85.0,0.005554529552551434,9,42912.0,23880,432.0,0.525158339197748,22111111111.11111,2625791695.98874,9.0944e-06
24,56,2,2,85.34,0.005839140257171442,7,36960.0,21048,392.0,0.5325910931174089,21477551020.40816,2662955465.5870447,7.904e-06
24,64,2,2,85.35000000000001,0.005702005016581839,7,40544.0,22840,448.0,0.5298812175204157,20392857142.857143,2649406087.6020784,8.6208e-06
24,72,2,2,85.71,0.0055982797939155525,7,44128.0,24632,504.0,0.5275873886223441,19549206349.20635,2637936943.1117206,9.337599999999998e-06
24,80,2,2,84.81,0.005829260438178656,6,40896.0,23088,480.0,0.5312960235640648,19240000000.0,2656480117.820324,8.6912e-06
24,88,2,2,85.79,0.00548549713583295,7,51296.0,28216,616.0,0.5239156268568034,18322077922.07792,2619578134.284017,1.0771199999999998e-05
24,96,2,2,85.85000000000001,0.005470980741319256,7,54880.0,30008,672.0,0.5224233983286908,17861904761.904762,2612116991.643454,1.1487999999999999e-05
24,12,2,8,85.18,0.005985133939005106,9,42264.0,23880,224.0,0.5327503123326789,42642857142.85715,2663751561.6633945,8.964800000000001e-06
24,14,2,8,85.22999999999999,0.005973575201605887,8,41664.0,23616,224.0,0.5340086830680174,42171428571.42857,2670043415.340087,8.8448e-06
24,16,2,8,85.45,0.005765334657021519,8,45760.0,25664,224.0,0.5311258278145695,45828571428.57143,2655629139.0728474,9.664000000000001e-06
24,18,2,8,85.35000000000001,0.00583569829806159,7,43624.0,24632,224.0,0.5333448813441884,43985714285.71429,2666724406.720942,9.236800000000001e-06
24,20,2,8,85.3,0.005688804325965777,7,47208.0,26424,224.0,0.5309435782028613,47185714285.71429,2654717891.0143065,9.953599999999999e-06
24,22,2,8,85.56,0.005559182350289874,7,50792.0,28216,224.0,0.5288648972859499,50385714285.71429,2644324486.4297495,1.06704e-05
24,24,2,8,85.85000000000001,0.005470980741319256,7,54376.0,30008,224.0,0.527047913446677,53585714285.71429,2635239567.233385,1.1387199999999998e-05
24,6,2,16,85.05,0.005926191551709407,10,46840.0,26192,240.0,0.5302024291497975,43653333333.333336,2651012145.7489877,9.88e-06
24,7,2,16,84.87,0.005853335154676308,9,46764.0,26184,224.0,0.5308571891979563,46757142857.14285,2654285945.989782,9.8648e-06
24,8,2,16,84.94,0.0058528446414903785,8,45664.0,25664,224.0,0.5321831453218314,45828571428.57143,2660915726.609157,9.644800000000001e-06
24,9,2,16,85.07000000000001,0.00565154959992315,8,49760.0,27712,224.0,0.5296636085626911,49485714285.71429,2648318042.8134556,1.0464e-05
24,10,2,16,85.25,0.005736881701976267,7,47124.0,26424,224.0,0.5318412366154094,47185714285.71429,2659206183.077047,9.9368e-06
24,11,2,16,84.88,0.005892280858496587,6,43464.0,24624,224.0,0.5350252042412654,43971428571.42857,2675126021.206327,9.2048e-06
24,12,2,16,85.85000000000001,0.005470980741319256,7,54292.0,30008,224.0,0.5278266375853092,53585714285.71429,2639133187.926546,1.13704e-05
24,3,2,32,84.99,0.005553150361758683,13,60814.0,33128,312.0,0.5227380313693313,42471794871.794876,2613690156.8466563,1.26748e-05
24,4,2,32,85.32,0.005517303450685188,10,57020.0,31312,240.0,0.5255454850621014,52186666666.666664,2627727425.3105073,1.1915999999999997e-05
