NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s),DSP Usage,Simulated Ncycles,Simulated Execution Time (s),BRAM Usage
8,64,4,2,85.18,0.0056205476306793,25,48542.0,64200,1600,1.2563109075965715,6.01875,6.01875,1.0666666666666667e-05,240,1636,1.0906666666666667e-05,48
8,72,4,2,85.33,0.0052287893653355,26,62580.0,73424,1872,1.127172244396684,5.883333333333333,5.883333333333333,1.2480000000000002e-05,240,1909,1.2726666666666666e-05,48
8,80,4,2,85.19,0.00508419858544,28,70494.0,86240,2240,1.1804966189394146,5.775,5.775,1.4933333333333332e-05,240,2279,1.5193333333333334e-05,48
8,88,4,2,85.25,0.004978524822769,28,78728.0,93408,2464,1.1490994980808975,5.686363636363636,5.686363636363636,1.6426666666666666e-05,240,2503,1.6686666666666667e-05,48
8,96,4,2,85.19,0.0056229447236779,22,59854.0,79024,2112,1.2661261896369405,5.6125,5.6125,1.408e-05,240,2145,1.43e-05,48
8,12,4,8,85.21,0.0056483676338684,32,56343.0,65792,384,1.1169549938033716,25.7,11.169549938033716,5.8903e-06,480,429,2.86e-06,96
8,14,4,8,85.24000000000001,0.005952505215275,24,46086.0,55488,336,1.1406487686551823,24.771428571428572,11.406487686551824,4.864599999999999e-06,480,373,2.486666666666667e-06,96
8,16,4,8,85.15,0.0058728566540943,23,48466.0,59064,368,1.1575275349821659,24.075,11.57527534982166,5.1026e-06,480,404,2.6933333333333335e-06,96
8,18,4,8,85.19,0.0058089089982118,23,50366.0,64952,414,1.2272229150134149,23.53333333333333,12.272229150134148,5.2926e-06,480,450,3e-06,96
8,20,4,8,85.22,0.0050968215422877,29,75909.0,89320,580,1.1382839082949954,23.1,11.382839082949953,7.846900000000001e-06,480,622,4.146666666666667e-06,96
8,22,4,8,85.28,0.0054550287445288,24,62706.0,80064,528,1.2267336745012718,22.745454545454542,12.267336745012718,6.5265999999999995e-06,480,565,3.7666666666666665e-06,96
8,24,4,8,85.19,0.0056229447236779,22,59269.0,79024,528,1.2781057432596354,22.45,12.781057432596354,6.1829000000000006e-06,480,563,3.7533333333333335e-06,96
8,6,4,16,85.39999999999999,0.005974555095444,30,50963.5,61680,240,1.1523910058198734,38.55,11.523910058198734,5.3523500000000005e-06,800,282,1.88e-06,160
8,7,4,16,85.71,0.0059492453594077,26,48930.5,60112,208,1.1674386537322419,43.35,11.67438653732242,5.1490499999999994e-06,800,247,1.6466666666666666e-06,160
8,8,4,16,85.34,0.0059567049416523,24,48387.0,61632,192,1.2097277562957582,48.15,12.097277562957583,5.0947e-06,800,230,1.5333333333333334e-06,160
8,9,4,16,85.26,0.0054890239502837,28,63863.5,79072,252,1.1904220644801915,47.06666666666666,11.904220644801915,6.642349999999999e-06,800,294,1.96e-06,160
8,10,4,16,85.22,0.0058902023132804,21,49276.5,64680,210,1.2477694288773356,46.2,12.477694288773355,5.18365e-06,800,245,1.6333333333333333e-06,160
8,11,4,16,85.38,0.0050998186133098,28,77762.0,93408,308,1.162919250018675,45.490909090909085,11.629192500186749,8.032199999999999e-06,800,350,2.333333333333333e-06,160
8,12,4,16,85.19,0.0056229447236779,22,59171.5,79024,264,1.28012440974219,44.9,12.8012440974219,6.1731499999999995e-06,800,300,2e-06,160
8,3,4,32,85.35000000000001,0.0057727729908237,35,59286.75,71960,280,1.1635211227752469,38.55,11.63521122775247,6.184675e-06,1440,325,2.1666666666666665e-06,288
