Word Length,Rank,MSE Layer 1,Iterative MSE Layer 1,Delta MSE Layer 1,MSE Layer 2,Iterative MSE Layer 2,Delta MSE Layer 2,MSE Layer 3,Iterative MSE Layer 3,Delta MSE Layer 3,MSE Layer 4,Iterative MSE Layer 4,Delta MSE Layer 4,MSE Layer 5,Iterative MSE Layer 5,Delta MSE Layer 5,MSE Layer 6,Iterative MSE Layer 6,Delta MSE Layer 6,Compression Ratio
6,85,0.001435631886124611,0.001435182406567037,4.494795575737953e-07,0.0010260113049298525,0.0010253688087686896,6.424961611628532e-07,0.001181465690024197,0.001181107945740223,3.577442839741707e-07,0.0012875029351562262,0.001286801416426897,7.015187293291092e-07,0.0013447823002934456,0.0013443492352962494,4.330649971961975e-07,0.0012599534820765257,0.0012593098217621446,6.436603143811226e-07,16.062745098039215
6,105,0.001187363639473915,0.0011867221910506487,6.414484232664108e-07,0.0008607163326814771,0.0008598668500781059,8.494826033711433e-07,0.0009896437404677272,0.000989148742519319,4.949979484081268e-07,0.001073253806680441,0.0010723154991865158,9.383074939250946e-07,0.0011134841479361057,0.0011128665646538138,6.175832822918892e-07,0.0010437177261337638,0.0010428542736917734,8.634524419903755e-07,13.003174603174603
6,125,0.0009785379515960813,0.000977693940512836,8.440110832452774e-07,0.0007197241066023707,0.0007186563452705741,1.0677613317966461e-06,0.0008256879518739879,0.0008250346290878952,6.533227860927582e-07,0.0008905106224119663,0.0008893221965990961,1.188425812870264e-06,0.0009204306406900287,0.0009196149185299873,8.157221600413322e-07,0.0008617764106020331,0.0008606609189882874,1.1154916137456894e-06,10.922666666666666
6,145,0.0008025150746107101,0.0008014538325369358,1.0612420737743378e-06,0.0005983063019812107,0.0005970093188807368,1.2969831004738808e-06,0.0006855428218841553,0.00068472302518785,8.19796696305275e-07,0.0007353418041020632,0.0007338867872022092,1.4550168998539448e-06,0.0007566605927422643,0.000755630899220705,1.0296935215592384e-06,0.0007081481162458658,0.0007067864062264562,1.3617100194096565e-06,9.416091954022988
6,165,0.0006541299517266452,0.000652837217785418,1.2927339412271976e-06,0.0004943053936585784,0.0004927664995193481,1.5388941392302513e-06,0.0005653874250128865,0.000564392248634249,9.951763786375523e-07,0.0006026974879205227,0.0006009706994518638,1.726788468658924e-06,0.0006177187897264957,0.0006164748920127749,1.2438977137207985e-06,0.0005781285581178963,0.0005765065434388816,1.6220146790146828e-06,8.274747474747475
8,64,0.0017432216554880142,0.0017432046588510275,1.6996636986732483e-08,0.0012269992148503661,0.001226974418386817,2.4796463549137115e-08,0.0014156237011775374,0.0014156096149235964,1.4086253941059113e-08,0.0015484545147046447,0.0015484283212572336,2.6193447411060333e-08,0.0016359109431505203,0.0016358945285901427,1.641456037759781e-08,0.0015308314468711615,0.001530804904177785,2.6542693376541138e-08,16.0
8,80,0.0015006012981757522,0.0015005767345428467,2.4563632905483246e-08,0.0010669981129467487,0.0010669645853340626,3.3527612686157227e-08,0.001231240457855165,0.001231220900081098,1.955777406692505e-08,0.0013413572451099753,0.0013413212727755308,3.597233444452286e-08,0.0014055430656298995,0.0014055193169042468,2.3748725652694702e-08,0.001315213507041335,0.0013151774182915688,3.608874976634979e-08,12.8
8,96,0.0012894177343696356,0.001289385138079524,3.259629011154175e-08,0.0009269667789340019,0.000926923647057265,4.313187673687935e-08,0.001068890793249011,0.0010688644833862782,2.6309862732887268e-08,0.0011599584249779582,0.0011599117424339056,4.668254405260086e-08,0.0012080813758075237,0.0012080490123480558,3.236345946788788e-08,0.0011306595988571644,0.0011306137312203646,4.586763679981232e-08,10.666666666666666
8,112,0.0011053946800529957,0.0011053531197831035,4.156026989221573e-08,0.0008037713123485446,0.0008037178195081651,5.349284037947655e-08,0.0009255683980882168,0.0009255349868908525,3.341119736433029e-08,0.0010000760667026043,0.0010000171605497599,5.8906152844429016e-08,0.0010372221004217863,0.0010371813550591469,4.0745362639427185e-08,0.0009708669385872781,0.0009708101861178875,5.675246939063072e-08,9.142857142857142
8,128,0.0009449240169487894,0.0009448725613765419,5.145557224750519e-08,0.0006948722875677049,0.0006948082591407001,6.402842700481415e-08,0.0007993355393409729,0.0007992945029400289,4.103640094399452e-08,0.0008593284292146564,0.0008592576486989856,7.078051567077637e-08,0.000889183662366122,0.0008891335455700755,5.011679604649544e-08,0.000830981123726815,0.0008309128461405635,6.827758625149727e-08,8.0
