Word Length,Rank,Quant SVD BLEU (Range-Based),Iterative Quant SVD BLEU (Range-Based),Compression Ratio
4,336,36.88622181383233,39.77224254067523,6.095238095238095
4,352,37.33609165404273,40.07312155832919,5.818181818181818
4,368,37.62817040884404,39.68906651833496,5.565217391304348
4,384,37.58488336760492,39.23623335956201,5.333333333333333
4,400,37.454088870071566,38.61790233127571,5.12
4,416,37.51138931783492,38.729501417379204,4.923076923076923
4,432,37.667324617794755,38.418363393752756,4.7407407407407405
4,448,38.09698322123046,38.63538325034765,4.571428571428571
4,464,37.81370327021275,38.07192303759056,4.413793103448276
4,480,38.006247888985115,38.11449797583138,4.266666666666667
4,496,37.83547140915201,38.45117402327308,4.129032258064516
4,512,37.97634008774297,39.65767351327128,4.0
6,64,19.80534143913511,18.62230352841033,21.333333333333332
6,80,22.43001413517933,22.210512144392883,17.066666666666666
6,96,26.195007268951215,25.336406200523747,14.222222222222221
6,112,26.83011055828021,26.92099701334028,12.19047619047619
6,128,28.57392687482831,28.108512963240333,10.666666666666666
6,144,31.135549336280555,31.37077870514106,9.481481481481481
6,160,34.00583621813541,33.219853756479814,8.533333333333333
6,176,34.920499562449905,34.67942550099062,7.757575757575758
6,192,37.63837510536975,37.31943522937948,7.111111111111111
6,208,38.670863529926244,38.54405987994913,6.564102564102564
6,224,39.28168407134354,39.80157260301489,6.095238095238095
6,240,39.95942222053957,39.85972500625835,5.688888888888889
6,256,39.595579185290795,39.69662813327604,5.333333333333333
6,272,39.550431754790935,39.345663966083556,5.019607843137255
6,288,38.64823803165204,39.234987925442745,4.7407407407407405
6,304,39.25547252763005,39.35044703695099,4.491228070175438
6,320,38.64361497177541,39.6268886110247,4.266666666666667
6,336,39.799272676943055,39.26584643903194,4.063492063492063
6,352,39.66824329881819,39.83635666082881,3.878787878787879
6,368,39.733986744489144,39.90664454522195,3.710144927536232
6,384,39.73961596805788,40.057669740003696,3.5555555555555554
6,400,39.63253448514027,40.01212828066375,3.4133333333333336
6,416,39.61161136199781,40.07460611246355,3.282051282051282
6,432,40.068593669537144,39.46802723829768,3.1604938271604937
6,448,39.48522506211867,39.22706982576932,3.0476190476190474
6,464,40.268476578516385,39.11190984678651,2.942528735632184
6,480,40.08721748229426,38.97417152234288,2.8444444444444446
6,496,39.80944690214897,39.051942165674305,2.752688172043011
6,512,39.747413548527696,39.2514517505205,2.6666666666666665
8,64,19.70629367198859,20.154649819211652,16.0
8,80,22.57585003903048,22.61448195641132,12.8
8,96,25.772226554287336,25.915871401225694,10.666666666666666
8,112,26.633369131728664,26.970062067174794,9.142857142857142
8,128,28.938164146671987,29.236051650577355,8.0
8,144,31.808086725629884,31.332796780735627,7.111111111111111
8,160,33.341202602939745,33.96395087246072,6.4
8,176,34.35635242660798,34.029481548072766,5.818181818181818
8,192,37.43373278612277,37.77870644733666,5.333333333333333
8,208,38.61098229983807,39.028758525673915,4.923076923076923
8,224,39.03175896025455,39.69769327118228,4.571428571428571
8,240,39.63656215584797,39.756840061234406,4.266666666666667
8,256,39.80265707101177,40.34415275026895,4.0
8,272,39.94797485519404,40.03528689959804,3.764705882352941
8,288,39.00958374482757,38.88618358181309,3.5555555555555554
8,304,39.279994187948134,39.67689034075646,3.3684210526315788
8,320,39.12789012642014,39.41171354954054,3.2
8,336,39.842517282106996,40.00459244351174,3.0476190476190474
8,352,39.651824218013765,39.77371794940017,2.909090909090909
8,368,39.508869415856736,39.73335855889681,2.782608695652174
8,384,39.69988725860134,39.68910177756636,2.6666666666666665
8,400,39.591877696862404,39.90086673586447,2.56
8,416,39.501266407590876,39.615953605593546,2.4615384615384617
8,432,39.689890883909115,39.72413730916548,2.3703703703703702
8,448,38.687980599757665,38.79361991387464,2.2857142857142856
8,464,39.73315820273841,39.08368793685936,2.206896551724138
8,480,39.11725529070428,39.209491464597576,2.1333333333333333
8,496,38.95043933607395,39.14265682067967,2.064516129032258
8,512,38.95043933607395,39.05700635994366,2.0
