Tile Size,Steps,MSE,Memory Footprint (Bytes),Compression Ratio,BLEU Score,Character F-score
512,145,9.864310050033964e-05,10701652.5,1.763687243628963,29.095915082527213,0.2581257198342548
512,161,8.543796623901774e-05,11882524.5,1.5884139771813641,30.238008215430934,0.25914606475527724
512,177,7.39193177044702e-05,13063396.5,1.4448285329163821,31.173687827707948,0.2609195389653487
512,193,6.381490796532792e-05,14244268.5,1.3250500016901534,32.88487632359731,0.26020335878714557
512,209,5.481652018109647e-05,15425140.5,1.223610767111003,33.97635784093465,0.26066635333784294
512,225,4.694142808148172e-05,16606012.5,1.1365984458942204,34.99922298053221,0.2618577665429313
512,241,3.9801864962403975e-05,17786884.5,1.061139627909542,36.03490756344233,0.2634809843016565
512,257,3.349010906579982e-05,18967756.5,0.9950764604132281,35.75793495802997,0.26326500720323515
512,273,2.7970574592472985e-05,20148628.5,0.9367569609018301,37.31679190052312,0.26423548357169063
512,289,2.3143241681585398e-05,21329500.5,0.8848949838276804,38.52684362406211,0.26410078289524525
