Method,Layer,Tile Size,Steps,MSE,Memory Footprint (Bytes),Compression Ratio,BLEU Score,Character F-score
Group,2,64,15,0.0018167735543102026,503280.0,6.250453028135431,39.61422402812144,0
Group,2,64,17,0.001738805091008544,570384.0,5.515105613060675,38.784654501407736,0
Group,2,64,19,0.0016651514451950788,637488.0,4.934568180106919,39.20001752388023,0
Group,2,64,21,0.0015948949148878455,704592.0,4.464609305811022,38.73669970211592,0
Group,2,64,23,0.0015286288689821959,771696.0,4.076382409653542,38.74120023093221,0
Group,2,64,25,0.001465057721361518,838800.0,3.7502718168812588,38.926332115314715,0
Group,2,64,27,0.0014036208158358932,905904.0,3.4724739045196844,39.014557172249525,0
Group,2,64,29,0.0013451182749122381,973008.0,3.2329929455872923,38.97395043503874,0
Group,3,64,1,0.003014765214174986,33552.0,93.75679542203147,38.90408831601786,0
Group,3,64,3,0.0028003600891679525,100656.0,31.252265140677157,38.2068811097617,0
Group,3,64,5,0.0026282109320163727,167760.0,18.751359084406296,38.188621832365534,0
Group,3,64,7,0.0024844242725521326,234864.0,13.393827917433068,38.396045380423985,0
Group,3,64,9,0.0023596957325935364,301968.0,10.417421713559053,39.021788796996645,0
Group,3,64,11,0.0022434955462813377,369072.0,8.523345038366498,39.63279061762998,0
Group,3,64,13,0.002136345487087965,436176.0,7.212061186310113,39.65503466915044,0
Group,3,64,15,0.0020365258678793907,503280.0,6.250453028135431,39.90257298068609,0
Group,3,64,17,0.0019424742786213756,570384.0,5.515105613060675,39.88061894988127,0
Group,3,64,19,0.0018544865306466818,637488.0,4.934568180106919,40.164775236591574,0
Group,3,64,21,0.0017701353644952178,704592.0,4.464609305811022,39.36469003632923,0
Group,3,64,23,0.0016907628159970045,771696.0,4.076382409653542,39.67591608534492,0
Group,3,64,25,0.0016151126474142075,838800.0,3.7502718168812588,39.7718159339693,0
Group,3,64,27,0.0015425512101501226,905904.0,3.4724739045196844,40.58284033326835,0
Group,3,64,29,0.001474304124712944,973008.0,3.2329929455872923,39.68357583870363,0
Group,4,64,1,0.0030330531299114227,33552.0,93.75679542203147,36.01402167327633,0
Group,4,64,3,0.0028435029089450836,100656.0,31.252265140677157,35.55741392374856,0
Group,4,64,5,0.002679208293557167,167760.0,18.751359084406296,35.68320064629293,0
Group,4,64,7,0.002531858626753092,234864.0,13.393827917433068,35.95819903266091,0
Group,4,64,9,0.0023955763317644596,301968.0,10.417421713559053,35.460765192495955,0
Group,4,64,11,0.0022703849244862795,369072.0,8.523345038366498,35.66753392240347,0
Group,4,64,13,0.002154675079509616,436176.0,7.212061186310113,35.48780393952165,0
Group,4,64,15,0.0020468668080866337,503280.0,6.250453028135431,35.74124113697081,0
Group,4,64,17,0.001946090254932642,570384.0,5.515105613060675,35.78945568503204,0
Group,4,64,19,0.001852728775702417,637488.0,4.934568180106919,36.153788096298555,0
Group,4,64,21,0.0017649093642830849,704592.0,4.464609305811022,36.110079560511174,0
Group,4,64,23,0.0016816174611449242,771696.0,4.076382409653542,36.67590082254672,0
Group,4,64,25,0.0016032609855756164,838800.0,3.7502718168812588,36.52911955944179,0
Group,4,64,27,0.0015288828872144222,905904.0,3.4724739045196844,37.10731304464896,0
Group,4,64,29,0.001459432183764875,973008.0,3.2329929455872923,37.3247489975773,0
Group,5,64,1,0.003143902635201812,33552.0,93.75679542203147,35.1637893066229,0
Group,5,64,3,0.002915558870881796,100656.0,31.252265140677157,35.86301220151557,0
Group,5,64,5,0.0027361258398741484,167760.0,18.751359084406296,35.59632466543336,0
Group,5,64,7,0.0025806897319853306,234864.0,13.393827917433068,35.04371719129693,0
Group,5,64,9,0.002439006930217147,301968.0,10.417421713559053,36.474948182941226,0
Group,5,64,11,0.002309737727046013,369072.0,8.523345038366498,35.278444305021104,0
Group,5,64,13,0.002187831327319145,436176.0,7.212061186310113,34.818743992575584,0
Group,5,64,15,0.0020743575878441334,503280.0,6.250453028135431,35.28436713833683,0
Group,5,64,17,0.00196826527826488,570384.0,5.515105613060675,35.14317218905105,0
Group,5,64,19,0.0018675564788281918,637488.0,4.934568180106919,35.06489768646192,0
Group,5,64,21,0.001773014897480607,704592.0,4.464609305811022,34.50736230252395,0
Group,5,64,23,0.0016848365776240826,771696.0,4.076382409653542,33.91025095193789,0
Group,5,64,25,0.0016004344215616584,838800.0,3.7502718168812588,34.236074855678424,0
Group,5,64,27,0.001520671183243394,905904.0,3.4724739045196844,34.477706092108164,0
Group,5,64,29,0.0014458767836913466,973008.0,3.2329929455872923,34.85789699538854,0
