Word Length,Rank,Quant SVD BLEU (Range-Based),Iterative Quant SVD BLEU (Range-Based),Compression Ratio
3,208,25.482368457605702,26.284189545605923,13.128205128205128
3,224,25.18213173882892,26.740042419038968,12.19047619047619
3,240,26.014548293459587,27.21532984068351,11.377777777777778
3,256,26.24643370447953,27.672272676058345,10.666666666666666
3,272,26.60040672532931,28.217458561441727,10.03921568627451
3,288,26.470402719440024,28.01905900526989,9.481481481481481
3,304,27.401009937643465,28.47558366632224,8.982456140350877
3,320,26.856818890232688,28.126326863739155,8.533333333333333
3,336,26.953448573839502,29.047108016196884,8.126984126984127
3,352,27.032823399686905,29.061456480615096,7.757575757575758
3,368,27.412824578383965,29.335595316844877,7.420289855072464
3,384,27.8267726681768,29.52932135566389,7.111111111111111
3,400,27.766540967270437,30.027424952403063,6.826666666666667
3,416,28.146433922185064,30.469798008197298,6.564102564102564
3,432,27.187371411934407,29.578727696920932,6.320987654320987
3,448,27.46471934404045,30.278137226955593,6.095238095238095
3,464,27.140943311853682,28.9910782790791,5.885057471264368
3,480,27.40408376341554,30.190651256595046,5.688888888888889
3,496,27.82283097678625,30.623174366767657,5.505376344086022
3,512,27.80805249993386,30.283395161342707,5.333333333333333
4,64,17.03441826695175,16.215445198557248,32.0
4,80,18.169736820650602,17.90328846644245,25.6
4,96,20.4148535972174,18.76479740855563,21.333333333333332
4,112,22.042833372404328,21.4833621583257,18.285714285714285
4,128,23.43450796139534,23.906770458304226,16.0
4,144,24.349308136920207,25.866844467589367,14.222222222222221
4,160,25.050439950679408,26.015732741520925,12.8
4,176,26.14823981735431,26.448425071708208,11.636363636363637
4,192,26.87731250457894,27.094717991034788,10.666666666666666
4,208,27.156843303566262,27.16345584842388,9.846153846153847
4,224,28.144253397645848,27.87892430935921,9.142857142857142
4,240,27.391640789886846,28.03672505861107,8.533333333333333
4,256,28.010224716777703,28.568356853007693,8.0
4,272,28.513064882294607,29.439628547212326,7.529411764705882
4,288,28.7169913572837,29.36245278653632,7.111111111111111
4,304,28.898904734770575,29.285409007521864,6.7368421052631575
4,320,28.8995824103225,29.155123689797662,6.4
4,336,28.83991039134923,29.558478016730472,6.095238095238095
