NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s),DSP Usage,Simulated Ncycles,Simulated Execution Time (s)
8,12,8,8,81.56565656565657,0.0054523402045256,50,71150.0,35250,1600,0.4832606728633709,3.3046875,3.3046875,1.0666666666666666e-05,80,1643,1.0953333333333334e-05
10,80,8,2,81.56565656565657,0.0048888491065367,26,50544.0,24986,2080,0.4774151635585448,1.801875,1.801875,1.3866666666666667e-05,50,2119,1.4126666666666666e-05
10,88,8,2,82.07070707070707,0.0049017103598655,25,50200.0,24825,2200,0.47747730420064627,1.6926136363636362,1.6926136363636362,1.4666666666666668e-05,50,2238,1.492e-05
10,96,8,2,82.57575757575758,0.0048834572760982,25,51800.0,25625,2400,0.47814972383937904,1.6015625,1.6015625,1.6e-05,50,2438,1.6253333333333332e-05
10,12,8,8,82.07070707070707,0.0055504744945579,36,60444.0,29988,1440,0.4818433061250723,3.12375,3.12375,9.6e-06,80,1463,9.753333333333334e-06
12,80,8,2,81.56565656565657,0.0046336245490538,24,52800.0,26136,1920,0.4787514654161782,2.041875,2.041875,1.28e-05,50,1959,1.306e-05
12,88,8,2,82.32323232323232,0.0045599409570143,24,54336.0,26904,2112,0.4793329532497149,1.9107954545454544,1.9107954545454544,1.4080000000000002e-05,50,2151,1.434e-05
12,96,8,2,81.81818181818183,0.005004620348898,19,44232.0,21907,1824,0.47599078741526163,1.8015625,1.8015625,1.216e-05,50,1858,1.2386666666666666e-05
12,12,8,8,82.57575757575758,0.0047817250764716,42,81270.0,40362,2016,0.48592617562784424,3.003125,3.003125,1.344e-05,80,2039,1.3593333333333332e-05
14,80,8,2,81.81818181818183,0.0050228122551392,16,39296.0,19472,1280,0.47390965732087226,2.281875,2.281875,8.533333333333334e-06,50,1313,8.753333333333333e-06
14,88,8,2,81.81818181818183,0.0048209477746056,17,42840.0,21233,1496,0.4757348987273705,2.128977272727273,2.128977272727273,9.973333333333332e-06,50,1530,1.02e-05
14,96,8,2,81.56565656565657,0.004796392398325,17,43928.0,21777,1632,0.47631233595800526,2.0015625,2.0015625,1.088e-05,50,1666,1.1106666666666666e-05
14,12,8,8,81.81818181818183,0.0041188111416736,47,102977.0,51183,2632,0.48853191306588784,2.9169642857142857,2.9169642857142857,1.754666666666667e-05,80,2654,1.7693333333333332e-05
16,80,8,2,82.57575757575758,0.0048985807374301,15,40680.0,20175,1200,0.47501883593897154,2.521875,2.521875,8e-06,50,1234,8.226666666666667e-06
16,88,8,2,82.07070707070707,0.004982880185141,14,38864.0,19278,1232,0.47417355371900827,2.347159090909091,2.347159090909091,8.213333333333333e-06,50,1265,8.433333333333333e-06
16,96,8,2,82.07070707070707,0.0049566867847451,14,39760.0,19726,1344,0.4747304582210243,2.2015625,2.2015625,8.96e-06,50,1377,9.18e-06
16,12,8,8,81.81818181818183,0.0054662365805752,22,53834.0,26774,1408,0.48132168410455545,2.85234375,2.85234375,9.386666666666666e-06,80,1399,9.326666666666667e-06
