NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s),DSP Usage,Simulated Ncycles,Simulated Execution Time (s)
64,48,2,2,82.82828282828282,0.0058251499922284,11,40480.0,19756,704,0.46735427706283117,4.209375,4.209375,4.693333333333334e-06,80,766,5.106666666666666e-06
64,56,2,2,81.56565656565657,0.0057725638097063,10,39360.0,19240,640,0.46753499222395023,4.509375,4.509375,4.266666666666666e-06,80,709,4.726666666666667e-06
64,64,2,2,82.07070707070707,0.0055714124805716,10,41920.0,20520,640,0.4694363103953148,4.809375,4.694363103953148,4.3712e-06,80,717,4.78e-06
64,72,2,2,82.82828282828282,0.0051696811818995,11,48928.0,23980,792,0.4727917981072555,4.541666666666667,4.541666666666667,5.28e-06,80,870,5.8e-06
16,48,4,2,82.32323232323232,0.0059633656585887,18,47520.0,23112,864,0.46868916288124596,4.0125,4.0125,5.76e-06,120,901,6.006666666666667e-06
16,56,4,2,81.56565656565657,0.0051015941342677,23,66608.0,32476,1288,0.4747953216374269,3.7821428571428575,3.7821428571428575,8.586666666666667e-06,120,1330,8.866666666666666e-06
16,64,4,2,82.32323232323232,0.0056056902437911,17,53584.0,26180,1088,0.472767986131176,3.609375,3.609375,7.253333333333333e-06,120,1124,7.493333333333333e-06
16,72,4,2,81.81818181818183,0.0047166027984593,23,78384.0,38364,1656,0.47849730592696066,3.475,3.475,1.104e-05,120,1698,1.132e-05
20,48,4,2,83.58585858585859,0.0058032233757763,16,46336.0,22592,768,0.46941489361702127,4.4125,4.4125,5.12e-06,120,807,5.38e-06
20,56,4,2,82.07070707070707,0.0059782971191226,13,40976.0,20020,728,0.46810699588477367,4.125,4.125,4.853333333333333e-06,120,764,5.093333333333333e-06
20,64,4,2,81.56565656565657,0.0054654959906962,15,51120.0,25020,960,0.4728605987299667,3.909375,3.909375,6.4e-06,120,998,6.653333333333334e-06
20,72,4,2,83.83838383838383,0.005659130518503,13,47632.0,23348,936,0.47240207186791844,3.7416666666666667,3.7416666666666667,6.24e-06,120,972,6.48e-06
24,48,4,2,82.07070707070707,0.005879052276394,13,40976.0,20020,624,0.46810699588477367,4.8125,4.681069958847736,4.2768e-06,120,664,4.426666666666667e-06
