NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s),DSP Usage,Simulated Ncycles,Simulated Execution Time (s)
48,64,2,2,81.81818181818183,0.0042218744797751,27,67300.0,48492,1728,0.7018468129450588,4.209375,4.209375,1.1520000000000002e-05,80,1806,1.204e-05
48,72,2,2,82.32323232323232,0.0051488556675386,18,45368.0,34632,1296,0.7343511450381679,4.008333333333333,4.008333333333333,8.640000000000002e-06,80,1365,9.1e-06
56,48,2,2,81.56565656565657,0.0054673088946066,20,41216.0,33360,1120,0.7756696428571429,4.467857142857143,4.467857142857143,7.466666666666666e-06,80,1191,7.94e-06
56,56,2,2,82.82828282828282,0.0053612497625583,19,42440.0,34124,1064,0.7714776632302406,4.810714285714285,4.810714285714285,7.093333333333334e-06,80,1142,7.613333333333333e-06
56,64,2,2,82.07070707070707,0.005281459835846,17,42412.0,32708,1088,0.7399330377341417,4.509375,4.509375,7.253333333333333e-06,80,1164,7.76e-06
56,72,2,2,82.32323232323232,0.0050363396999061,17,48296.0,34884,1224,0.6964542405366555,4.275,4.275,8.16e-06,80,1300,8.666666666666666e-06
64,48,2,2,81.81818181818183,0.0051366805063912,22,51648.0,39512,1408,0.73937125748503,4.209375,4.209375,9.386666666666668e-06,80,1481,9.873333333333333e-06
64,56,2,2,81.56565656565657,0.0052165051310707,18,46348.0,34632,1152,0.7194017449106772,4.509375,4.509375,7.68e-06,80,1229,8.193333333333333e-06
64,64,2,2,81.56565656565657,0.0051797521157046,18,47268.0,36936,1152,0.7528740317977987,4.809375,4.809375,7.68e-06,80,1237,8.246666666666667e-06
64,72,2,2,82.07070707070707,0.0050830062739272,17,49024.0,37060,1224,0.7292978589420654,4.541666666666667,4.541666666666667,8.16e-06,80,1308,8.72e-06
16,48,4,2,81.56565656565657,0.0050952560143526,34,62208.0,43656,1632,0.682125,4.0125,4.0125,1.088e-05,120,1685,1.1233333333333333e-05
16,56,4,2,81.56565656565657,0.0049320095220294,33,64608.0,46596,1848,0.7017469879518072,3.7821428571428575,3.7821428571428575,1.2319999999999999e-05,120,1900,1.2666666666666667e-05
16,64,4,2,82.57575757575758,0.0053105317877287,26,54512.0,40040,1664,0.7111395282750781,3.609375,3.609375,1.1093333333333334e-05,120,1709,1.1393333333333333e-05
16,72,4,2,82.07070707070707,0.0049452767527152,28,64896.0,46704,2016,0.7003358925143954,3.475,3.475,1.344e-05,120,2063,1.3753333333333333e-05
20,48,4,2,81.81818181818183,0.0059240764908727,22,38512.0,31064,1056,0.7707423580786026,4.4125,4.4125,7.040000000000001e-06,120,1101,7.34e-06
20,56,4,2,81.56565656565657,0.0055371929050563,22,44256.0,33880,1232,0.7357539958304378,4.125,4.125,8.213333333333333e-06,120,1277,8.513333333333334e-06
20,64,4,2,81.81818181818183,0.0042312859275235,32,80224.0,53376,2048,0.6507998439328911,3.909375,3.909375,1.3653333333333334e-05,120,2103,1.402e-05
20,72,4,2,82.32323232323232,0.0047974426556643,26,62432.0,46696,1872,0.7270802192326856,3.7416666666666667,3.7416666666666667,1.248e-05,120,1921,1.2806666666666667e-05
24,48,4,2,82.57575757575758,0.005181822270539,24,49776.0,36960,1152,0.7167235494880546,4.8125,4.8125,7.68e-06,120,1203,8.02e-06
24,56,4,2,81.81818181818183,0.0058677559984459,16,35872.0,26688,896,0.7085811384876806,4.467857142857143,4.467857142857143,5.973333333333333e-06,120,939,6.26e-06
24,64,4,2,82.82828282828282,0.005540788077986,17,39488.0,30532,1088,0.7396317829457364,4.209375,4.209375,7.253333333333334e-06,120,1132,7.546666666666667e-06
24,72,4,2,81.81818181818183,0.0058842520228723,15,35376.0,28860,1080,0.7764743865690917,4.008333333333333,4.008333333333333,7.2000000000000005e-06,120,1122,7.48e-06
28,48,4,2,81.56565656565657,0.005498491929371,20,41872.0,33360,960,0.7640161231220227,5.2125,5.2125,6.4e-06,120,1011,6.74e-06
28,56,4,2,81.81818181818183,0.005372774915167,18,44064.0,32328,1008,0.7049895324494069,4.810714285714285,4.810714285714285,6.720000000000001e-06,120,1057,7.046666666666666e-06
28,64,4,2,81.56565656565657,0.0055581221097149,16,38320.0,30784,1024,0.7674511368169127,4.509375,4.509375,6.826666666666666e-06,120,1071,7.14e-06
28,72,4,2,82.57575757575758,0.0053548815188508,17,41872.0,34884,1224,0.798919017955295,4.275,4.275,8.16e-06,120,1272,8.48e-06
32,48,4,2,81.81818181818183,0.0051366805063912,22,51424.0,39512,1056,0.7424834636199639,5.6125,5.6125,7.04e-06,120,1113,7.42e-06
32,56,4,2,81.56565656565657,0.0052165051310707,18,46160.0,34632,1008,0.7222222222222222,5.1535714285714285,5.1535714285714285,6.72e-06,120,1061,7.073333333333333e-06
32,64,4,2,81.56565656565657,0.0051797521157046,18,47088.0,36936,1152,0.7556464811783961,4.809375,4.809375,7.68e-06,120,1205,8.033333333333333e-06
32,72,4,2,82.07070707070707,0.0050830062739272,17,48848.0,37060,1224,0.7318325434439179,4.541666666666667,4.541666666666667,8.16e-06,120,1276,8.506666666666666e-06
8,48,8,2,81.56565656565657,0.0054646082253053,32,58718.0,41088,1536,0.67902825979177,4.0125,4.0125,1.024e-05,200,1579,1.0526666666666667e-05
8,56,8,2,82.82828282828282,0.0054724808685089,29,57904.0,40948,1624,0.685942106673814,3.7821428571428575,3.7821428571428575,1.0826666666666666e-05,200,1664,1.1093333333333333e-05
8,64,8,2,82.57575757575758,0.0051414256526012,31,66184.0,47740,1984,0.702306696481111,3.609375,3.609375,1.3226666666666667e-05,200,2026,1.3506666666666667e-05
8,72,8,2,82.07070707070707,0.0057135882517301,25,51160.0,41700,1800,0.787505665508385,3.475,3.475,1.2e-05,200,1836,1.224e-05
10,48,8,2,81.56565656565657,0.0046412138729351,39,75296.0,55068,1872,0.7143524283935243,4.4125,4.4125,1.2480000000000002e-05,200,1924,1.2826666666666667e-05
10,56,8,2,81.56565656565657,0.0044892081359067,36,80340.0,55440,2016,0.6750109579700969,4.125,4.125,1.344e-05,200,2065,1.3766666666666666e-05
10,64,8,2,81.56565656565657,0.0051535009681876,26,58790.0,43368,1664,0.715856194909379,3.909375,3.909375,1.1093333333333334e-05,200,1703,1.1353333333333334e-05
10,72,8,2,81.56565656565657,0.0046350912726997,29,74174.0,52084,2088,0.6856225153358081,3.7416666666666667,3.7416666666666667,1.392e-05,200,2130,1.42e-05
12,48,8,2,82.32323232323232,0.0059204419231098,20,38638.0,30800,960,0.7618105367301509,4.8125,4.8125,6.4e-06,200,995,6.633333333333333e-06
12,56,8,2,83.33333333333334,0.0058354605360943,18,39204.0,30024,1008,0.7323641330861548,4.467857142857143,4.467857142857143,6.719999999999999e-06,200,1041,6.94e-06
