NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s),DSP Usage,Simulated Execution Time (s),Simulated Ncycles
24,5,4,32,81.56565656565657,0.0048945496619831,59,61640.25,121068,1416,1.9086190384228843,12.825,12.825,9.44e-06,256,9.913333333333334e-06,1487
28,12,4,16,82.57575757575758,0.0045701715515722,46,56925.0,112056,1288,1.9084081271182112,13.05,13.05,8.586666666666667e-06,176,9.013333333333334e-06,1352
28,4,4,32,82.57575757575758,0.0057596663499969,43,42172.25,82732,1204,1.881801691146784,10.307142857142857,10.307142857142857,8.026666666666667e-06,256,8.386666666666667e-06,1258
28,5,4,32,81.56565656565657,0.004750605832344,56,62090.0,122080,1568,1.911023449484988,11.678571428571429,11.678571428571429,1.0453333333333334e-05,256,1.0906666666666667e-05,1636
32,12,4,16,82.07070707070707,0.0043610904684917,47,61170.5,120508,1504,1.913964661504864,12.01875,12.01875,1.0026666666666667e-05,176,1.046e-05,1569
32,3,4,32,81.56565656565657,0.0056767309828957,58,53171.5,104168,1856,1.8952213741846862,8.41875,8.41875,1.2373333333333334e-05,256,1.2826666666666667e-05,1924
32,4,4,32,81.56565656565657,0.0056783286665757,42,43879.5,86184,1344,1.8870411525787416,9.61875,9.61875,8.96e-06,256,9.313333333333333e-06,1397
32,5,4,32,81.56565656565657,0.0052629592648848,41,48082.75,94628,1312,1.897312768485055,10.81875,10.81875,8.746666666666665e-06,256,9.1e-06,1365
12,12,8,16,81.56565656565657,0.0048304348131268,52,60918.0,120016,624,1.913825546164886,28.85,19.13825546164886,6.271e-06,256,4.626666666666667e-06,694
16,12,8,16,82.07070707070707,0.0043610904684917,47,61076.5,120508,752,1.9168263915951549,24.0375,19.16826391595155,6.286850000000001e-06,256,5.4466666666666665e-06,817
48,6,2,32,81.56565656565657,0.0049172987046292,40,47070.0,92320,1920,1.8894028079079856,7.2125,7.2125,1.28e-05,216,1.3153333333333333e-05,1973
56,6,2,32,82.32323232323232,0.0044080753222489,48,59556.0,116928,2688,1.9059790050205385,6.525,6.525,1.792e-05,216,1.8326666666666665e-05,2749
64,6,2,32,82.07070707070707,0.0043610904684917,47,61323.25,120508,3008,1.909332530569078,6.009375,6.009375,2.0053333333333333e-05,216,2.0453333333333333e-05,3068
20,6,4,32,81.81818181818183,0.0054473296471423,42,46567.5,91560,840,1.8933198234059492,16.35,16.35,5.599999999999999e-06,256,5.9666666666666666e-06,895
24,6,4,32,81.56565656565657,0.0044168732268158,56,65674.0,129248,1344,1.915750155633949,14.425,14.425,8.96e-06,256,9.42e-06,1413
28,6,4,32,82.57575757575758,0.0045701715515722,46,56890.5,112056,1288,1.9095300984109402,13.05,13.05,8.586666666666667e-06,256,8.98e-06,1347
32,6,4,32,82.07070707070707,0.0043610904684917,47,61135.25,120508,1504,1.9150368083779286,12.01875,12.01875,1.0026666666666667e-05,256,1.0426666666666666e-05,1564
