NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s),DSP Usage,Simulated Execution Time (s),Simulated Ncycles
56,14,2,8,81.56565656565657,0.0051606962978213,58,53534.0,104168,3248,1.8828037450746484,4.810714285714285,4.810714285714285,2.1653333333333335e-05,96,2.2166666666666666e-05,3325
56,16,2,8,81.56565656565657,0.0047737088266049,61,60207.0,117364,3416,1.8929982741657123,5.1535714285714285,5.1535714285714285,2.277333333333333e-05,96,2.332e-05,3498
56,20,2,8,81.56565656565657,0.0048187136345018,48,53520.0,104640,2688,1.8918137113103848,5.839285714285714,5.839285714285714,1.792e-05,96,1.8406666666666668e-05,2761
64,14,2,8,81.56565656565657,0.0050257440530534,59,58233.0,113516,3776,1.8911453561016243,4.509375,4.509375,2.5173333333333332e-05,96,2.5693333333333334e-05,3854
64,16,2,8,81.56565656565657,0.0047506676081151,60,63060.0,123120,3840,1.8984765311786838,4.809375,4.809375,2.56e-05,96,2.614e-05,3921
64,18,2,8,81.56565656565657,0.0056570981512739,34,37910.0,74120,2176,1.86690846808725,5.109375,5.109375,1.4506666666666666e-05,96,1.4886666666666666e-05,2233
64,20,2,8,82.07070707070707,0.0042802576754657,59,69561.0,136172,3776,1.9084271158886101,5.409375,5.409375,2.5173333333333335e-05,96,2.5733333333333333e-05,3860
24,18,4,8,81.56565656565657,0.0055157239900543,44,43252.0,84656,1056,1.8794068022378119,12.025,12.025,7.04e-06,136,7.486666666666666e-06,1123
24,20,4,8,82.07070707070707,0.0049338718806649,53,55491.0,108756,1272,1.8985737478833162,12.825,12.825,8.48e-06,136,9e-06,1350
28,14,4,8,81.56565656565657,0.0057898176345079,44,40436.0,79024,1232,1.8713649711092166,9.62142857142857,9.62142857142857,8.213333333333333e-06,136,8.633333333333333e-06,1295
28,16,4,8,81.56565656565657,0.0052208492403534,52,51116.0,100048,1456,1.8909805700461177,10.307142857142857,10.307142857142857,9.706666666666666e-06,136,1.0193333333333333e-05,1529
28,18,4,8,81.56565656565657,0.005420101651143,41,42927.0,84132,1148,1.881347972897426,10.992857142857144,10.992857142857144,7.653333333333333e-06,136,8.08e-06,1212
32,14,4,8,81.56565656565657,0.0050257440530534,59,57997.0,113516,1888,1.898610112228002,9.01875,9.01875,1.2586666666666666e-05,136,1.3106666666666666e-05,1966
32,16,4,8,81.56565656565657,0.0047506676081151,60,62820.0,123120,1920,1.9055283848201572,9.61875,9.61875,1.28e-05,136,1.334e-05,2001
32,18,4,8,81.56565656565657,0.0056570981512739,34,37774.0,74120,1088,1.873325582570894,10.21875,10.21875,7.253333333333333e-06,136,7.633333333333334e-06,1145
32,20,4,8,82.07070707070707,0.0042802576754657,59,69325.0,136172,1888,1.914760183922269,10.81875,10.81875,1.2586666666666668e-05,136,1.3146666666666667e-05,1972
12,16,8,8,81.56565656565657,0.005627870129742,53,48601.0,95188,848,1.8889131426983907,16.8375,16.8375,5.653333333333334e-06,216,6.12e-06,918
12,18,8,8,81.81818181818183,0.0051248901091964,61,59841.0,117364,1098,1.9042396118962244,16.03333333333333,16.03333333333333,7.320000000000001e-06,216,7.84e-06,1176
12,20,8,8,82.57575757575758,0.0049346120088746,59,61655.0,121068,1180,1.9081753274386495,15.39,15.39,7.866666666666665e-06,216,8.373333333333333e-06,1256
14,14,8,8,81.56565656565657,0.005764651516008,47,43099.0,84412,658,1.8803769129669645,19.24285714285714,18.803769129669647,4.489099999999999e-06,216,4.8266666666666665e-06,724
14,16,8,8,81.56565656565657,0.0051958193637955,56,54936.0,107744,896,1.8993089832181638,18.0375,18.0375,5.973333333333333e-06,216,6.473333333333334e-06,971
14,18,8,8,81.81818181818183,0.0052609402152097,47,49115.0,96444,846,1.8945135246626201,17.1,17.1,5.639999999999999e-06,216,6.08e-06,912
14,20,8,8,81.56565656565657,0.0055521809698715,37,41033.0,80660,740,1.8834792761237595,16.35,16.35,4.933333333333333e-06,216,5.306666666666667e-06,796
16,14,8,8,81.56565656565657,0.0050257440530534,59,57879.0,113516,944,1.90236463273617,18.0375,18.0375,6.293333333333333e-06,216,6.813333333333333e-06,1022
16,16,8,8,81.56565656565657,0.0047506676081151,60,62700.0,123120,960,1.9090739936736338,19.2375,19.090739936736338,6.449200000000001e-06,216,6.94e-06,1041
16,18,8,8,81.56565656565657,0.0056570981512739,34,37706.0,74120,612,1.8765507114284268,18.166666666666668,18.166666666666668,4.08e-06,216,4.446666666666667e-06,667
16,20,8,8,82.07070707070707,0.0042802576754657,59,69207.0,136172,1180,1.9179425062324822,17.31,17.31,7.866666666666667e-06,216,8.4e-06,1260
32,22,2,8,81.81818181818183,0.0049754861427724,56,55272.0,107744,1792,1.8881256133464182,9.01875,9.01875,1.1946666666666665e-05,96,1.25e-05,1875
40,22,2,8,81.56565656565657,0.0046648965118889,56,58856.0,114912,2240,1.894736842105263,7.695,7.695,1.4933333333333332e-05,96,1.5486666666666665e-05,2323
48,22,2,8,81.56565656565657,0.0045085176483231,53,59095.0,115540,2544,1.8976136121011054,6.8125,6.8125,1.696e-05,96,1.7493333333333334e-05,2624
48,24,2,8,81.56565656565657,0.0049172987046292,40,47160.0,92320,1920,1.885929073378003,7.2125,7.2125,1.28e-05,96,1.326e-05,1989
56,24,2,8,82.32323232323232,0.0044080753222489,48,59664.0,116928,2688,1.9026295235615724,6.525,6.525,1.792e-05,96,1.8433333333333332e-05,2765
64,22,2,8,81.56565656565657,0.0048136817891462,40,49720.0,97440,2560,1.8915980742351297,5.709375,5.709375,1.7066666666666667e-05,96,1.7513333333333334e-05,2627
64,24,2,8,82.07070707070707,0.0043610904684917,47,61429.0,120508,3008,1.90613878299932,6.009375,6.009375,2.0053333333333333e-05,96,2.056e-05,3084
64,6,2,16,82.07070707070707,0.0059970635159807,46,42389.0,82616,2944,1.8699440936149023,4.209375,4.209375,1.9626666666666666e-05,136,2.0013333333333334e-05,3002
64,7,2,16,81.81818181818183,0.0053402006200683,57,56173.5,109668,3648,1.891952972026464,4.509375,4.509375,2.4319999999999998e-05,136,2.4786666666666668e-05,3718
20,22,4,8,82.07070707070707,0.0046851471267952,63,65961.0,129276,1386,1.90804835210249,13.99090909090909,13.99090909090909,9.24e-06,136,9.826666666666667e-06,1474
20,24,4,8,81.81818181818183,0.0054473296471423,42,46662.0,91560,1008,1.889627275353944,13.625,13.625,6.72e-06,136,7.166666666666667e-06,1075
24,24,4,8,81.56565656565657,0.0044168732268158,56,65800.0,129248,1344,1.912178956089478,14.425,14.425,8.96e-06,136,9.526666666666666e-06,1429
28,22,4,8,81.56565656565657,0.0052785307695286,36,42300.0,83088,1008,1.884423478181983,12.364285714285714,12.364285714285714,6.72e-06,136,7.14e-06,1071
28,24,4,8,82.57575757575758,0.0045701715515722,46,56994.0,112056,1288,1.9061681352703024,13.05,13.05,8.586666666666667e-06,136,9.086666666666667e-06,1363
28,6,4,16,81.81818181818183,0.0055824084648344,62,52917.0,103416,1736,1.8902922736661245,8.935714285714287,8.935714285714287,1.1573333333333332e-05,176,1.2066666666666667e-05,1810
32,22,4,8,81.56565656565657,0.0048136817891462,40,49560.0,97440,1280,1.8974918211559433,11.41875,11.41875,8.533333333333334e-06,136,8.98e-06,1347
32,24,4,8,82.07070707070707,0.0043610904684917,47,61241.0,120508,1504,1.911823965224565,12.01875,12.01875,1.0026666666666667e-05,136,1.0533333333333333e-05,1580
32,6,4,16,82.07070707070707,0.0059970635159807,46,42205.0,82616,1472,1.8777643930267973,8.41875,8.41875,9.813333333333333e-06,176,1.02e-05,1530
32,7,4,16,81.81818181818183,0.0053402006200683,57,55945.5,109668,1824,1.89942411777441,9.01875,9.01875,1.2159999999999999e-05,176,1.2626666666666667e-05,1894
12,22,8,8,81.56565656565657,0.0048346761732015,55,60995.0,119900,1210,1.9096309745647984,14.863636363636363,14.863636363636363,8.066666666666667e-06,216,8.546666666666667e-06,1282
12,24,8,8,81.56565656565657,0.0048304348131268,52,60996.0,120016,1248,1.9114480473975919,14.425,14.425,8.32e-06,216,8.78e-06,1317
12,7,8,16,81.56565656565657,0.0058858907637405,56,47684.0,93408,672,1.8879456706281834,20.85,18.879456706281836,4.9476e-06,256,4.94e-06,741
